"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C02_001E","S1901_C02_001M","S1901_C03_001E","S1901_C03_001M","S1901_C04_001E","S1901_C04_001M","S1901_C01_002E","S1901_C01_002M","S1901_C02_002E","S1901_C02_002M","S1901_C03_002E","S1901_C03_002M","S1901_C04_002E","S1901_C04_002M","S1901_C01_003E","S1901_C01_003M","S1901_C02_003E","S1901_C02_003M","S1901_C03_003E","S1901_C03_003M","S1901_C04_003E","S1901_C04_003M","S1901_C01_004E","S1901_C01_004M","S1901_C02_004E","S1901_C02_004M","S1901_C03_004E","S1901_C03_004M","S1901_C04_004E","S1901_C04_004M","S1901_C01_005E","S1901_C01_005M","S1901_C02_005E","S1901_C02_005M","S1901_C03_005E","S1901_C03_005M","S1901_C04_005E","S1901_C04_005M","S1901_C01_006E","S1901_C01_006M","S1901_C02_006E","S1901_C02_006M","S1901_C03_006E","S1901_C03_006M","S1901_C04_006E","S1901_C04_006M","S1901_C01_007E","S1901_C01_007M","S1901_C02_007E","S1901_C02_007M","S1901_C03_007E","S1901_C03_007M","S1901_C04_007E","S1901_C04_007M","S1901_C01_008E","S1901_C01_008M","S1901_C02_008E","S1901_C02_008M","S1901_C03_008E","S1901_C03_008M","S1901_C04_008E","S1901_C04_008M","S1901_C01_009E","S1901_C01_009M","S1901_C02_009E","S1901_C02_009M","S1901_C03_009E","S1901_C03_009M","S1901_C04_009E","S1901_C04_009M","S1901_C01_010E","S1901_C01_010M","S1901_C02_010E","S1901_C02_010M","S1901_C03_010E","S1901_C03_010M","S1901_C04_010E","S1901_C04_010M","S1901_C01_011E","S1901_C01_011M","S1901_C02_011E","S1901_C02_011M","S1901_C03_011E","S1901_C03_011M","S1901_C04_011E","S1901_C04_011M","S1901_C01_012E","S1901_C01_012M","S1901_C02_012E","S1901_C02_012M","S1901_C03_012E","S1901_C03_012M","S1901_C04_012E","S1901_C04_012M","S1901_C01_013E","S1901_C01_013M","S1901_C02_013E","S1901_C02_013M","S1901_C03_013E","S1901_C03_013M","S1901_C04_013E","S1901_C04_013M","S1901_C01_014E","S1901_C01_014M","S1901_C02_014E","S1901_C02_014M","S1901_C03_014E","S1901_C03_014M","S1901_C04_014E","S1901_C04_014M","S1901_C01_015E","S1901_C01_015M","S1901_C02_015E","S1901_C02_015M","S1901_C03_015E","S1901_C03_015M","S1901_C04_015E","S1901_C04_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_016E","S1901_C02_016M","S1901_C03_016E","S1901_C03_016M","S1901_C04_016E","S1901_C04_016M"
"id","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households MOE!!Total","Estimate!!Families!!Total","Margin of Error!!Families MOE!!Total","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families MOE!!Total","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households MOE!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households MOE!!Total!!Less than $10,000","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families MOE!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families MOE!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households MOE!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households MOE!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families MOE!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families MOE!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households MOE!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households MOE!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families MOE!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families MOE!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households MOE!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households MOE!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families MOE!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families MOE!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households MOE!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households MOE!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families MOE!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families MOE!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households MOE!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households MOE!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families MOE!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families MOE!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households MOE!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households MOE!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families MOE!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families MOE!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households MOE!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households MOE!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families MOE!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families MOE!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households MOE!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households MOE!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families MOE!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families MOE!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households MOE!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households MOE!!Total!!$200,000 or more","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families MOE!!Total!!$200,000 or more","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families MOE!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households MOE!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households MOE!!Median income (dollars)","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families MOE!!Median income (dollars)","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families MOE!!Median income (dollars)","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households MOE!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households MOE!!Mean income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families MOE!!Mean income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families MOE!!Mean income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households MOE!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"1400000US47157000100","Census Tract 1, Shelby County, Tennessee","3090","209","1031","165","905","169","2059","233","9.5","3.9","2.6","4.1","0.0","3.8","12.9","5.3","3.3","2.9","0.0","3.3","0.0","3.8","5.0","4.3","3.8","3.1","1.1","1.9","1.2","2.1","5.1","4.5","4.6","2.8","1.4","2.2","1.5","2.5","6.3","4.0","9.6","4.4","4.7","3.6","5.3","4.0","12.0","6.0","16.1","4.5","9.8","6.3","8.0","5.5","19.3","6.4","13.5","5.6","12.7","8.0","12.9","8.6","14.6","8.0","16.3","6.2","27.8","12.7","25.5","13.0","10.6","5.8","11.5","4.8","19.0","9.4","21.7","9.8","7.0","5.3","11.7","4.0","21.0","9.0","23.9","10.7","7.1","4.3","76627","9504","120877","15207","126161","41290","55858","6121","108809","13931","177155","37124","N","N","74184","10945","23.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","23.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","22.3","(X)"
"1400000US47157000200","Census Tract 2, Shelby County, Tennessee","389","54","160","39","32","23","229","58","29.6","11.5","16.3","12.7","0.0","54.4","38.9","17.4","24.7","10.3","18.1","15.1","25.0","32.7","29.3","14.2","10.8","6.8","12.5","10.9","9.4","16.9","9.6","9.2","10.8","5.0","18.8","12.4","6.3","13.0","5.2","4.9","8.0","4.6","16.3","10.3","6.3","11.2","2.2","3.0","13.1","8.3","10.6","8.7","15.6","26.9","14.8","12.8","3.1","5.0","7.5","12.0","37.5","47.8","0.0","14.1","0.0","8.6","0.0","19.5","0.0","54.4","0.0","14.1","0.0","8.6","0.0","19.5","0.0","54.4","0.0","14.1","0.0","8.6","0.0","19.5","0.0","54.4","0.0","14.1","14345","3859","28281","7518","-","**","13005","2984","24537","5835","32438","9183","N","N","19017","6391","31.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","38.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","26.2","(X)"
"1400000US47157000300","Census Tract 3, Shelby County, Tennessee","343","54","149","43","36","22","194","65","18.7","10.6","10.7","12.4","0.0","51.3","24.7","14.7","16.3","11.1","10.7","12.6","5.6","14.1","20.6","15.7","28.9","13.3","24.2","16.5","0.0","51.3","32.5","18.0","15.7","8.4","18.1","14.0","30.6","30.7","13.9","13.7","6.1","4.5","18.1","10.3","0.0","51.3","0.0","16.4","5.0","5.4","7.4","8.7","19.4","25.5","3.1","6.3","4.1","4.0","2.7","4.3","11.1","17.7","5.2","6.8","3.5","3.8","4.0","5.6","16.7","23.4","0.0","16.4","1.7","2.7","4.0","6.1","16.7","22.5","0.0","16.4","0.0","9.7","0.0","20.8","0.0","51.3","0.0","16.4","20428","3289","26806","6979","69286","53670","15978","6602","29270","7006","39258","12472","N","N","19861","5873","48.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","59.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","39.7","(X)"
"1400000US47157000400","Census Tract 4, Shelby County, Tennessee","554","66","290","54","101","45","264","67","22.6","9.3","26.9","12.8","10.9","15.3","23.9","13.1","14.3","7.3","1.4","2.1","0.0","28.5","26.5","14.4","11.0","4.2","8.6","5.2","5.9","9.2","13.6","7.9","23.1","8.8","22.4","10.8","28.7","22.3","19.7","14.3","15.3","7.5","21.4","11.0","23.8","20.3","10.6","10.9","11.2","7.2","16.2","11.1","30.7","23.0","5.7","8.7","1.6","2.5","3.1","4.8","0.0","28.5","0.0","12.4","0.9","1.6","0.0","11.4","0.0","28.5","0.0","12.4","0.0","6.1","0.0","11.4","0.0","28.5","0.0","12.4","0.0","6.1","0.0","11.4","0.0","28.5","0.0","12.4","25789","3833","31288","4364","35804","6353","14821","10668","26350","4243","29936","5807","N","N","19521","5042","39.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","52.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","25.4","(X)"
"1400000US47157000600","Census Tract 6, Shelby County, Tennessee","789","90","397","93","141","58","392","91","24.5","9.4","24.4","14.2","19.9","21.6","24.5","11.3","18.8","6.6","8.1","5.8","0.0","21.8","29.6","12.8","24.3","9.1","19.4","11.9","5.7","7.4","29.3","12.8","11.8","6.1","12.6","9.8","5.7","8.0","11.0","8.0","8.7","4.9","13.6","8.5","31.2","19.4","3.8","4.0","3.9","4.1","9.3","7.6","19.9","21.9","0.0","8.5","1.9","3.0","3.8","5.8","10.6","16.0","0.0","8.5","4.8","4.5","6.3","7.7","0.0","21.8","1.8","2.9","0.0","4.3","0.0","8.4","0.0","21.8","0.0","8.5","1.3","1.8","2.5","3.4","7.1","9.9","0.0","8.5","16379","1958","24148","8601","45069","14476","14474","1584","30595","9792","43473","17543","N","N","16998","3249","38.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","45.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","31.6","(X)"
"1400000US47157000700","Census Tract 7, Shelby County, Tennessee","2030","211","1155","275","304","147","875","221","28.8","9.6","33.6","15.0","0.0","10.9","22.5","11.4","7.1","5.7","5.6","6.4","4.3","7.8","9.1","9.8","21.2","9.7","16.9","13.0","4.3","8.5","26.9","14.0","7.5","5.3","5.5","6.0","7.6","11.0","10.2","9.8","6.8","5.6","4.2","5.4","14.1","17.4","10.4","9.1","12.4","5.0","16.2","8.1","37.2","19.5","7.4","6.8","7.9","3.9","7.1","7.2","0.0","10.9","9.0","7.2","8.2","5.7","11.0","8.3","32.6","24.6","4.5","7.0","0.0","1.7","0.0","3.0","0.0","10.9","0.0","3.9","0.0","1.7","0.0","3.0","0.0","10.9","0.0","3.9","19849","4043","20474","7966","67546","34172","19441","5166","36567","6963","39074","9923","N","N","33258","9948","26.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","30.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","21.9","(X)"
"1400000US47157000800","Census Tract 8, Shelby County, Tennessee","864","86","491","89","63","39","373","95","38.1","8.8","44.6","13.2","0.0","38.8","29.5","12.4","14.6","6.7","8.1","6.8","0.0","38.8","23.1","11.0","12.3","6.0","17.7","9.4","11.1","20.9","10.7","7.7","7.1","4.9","5.9","6.1","0.0","38.8","8.6","7.0","16.2","7.7","11.0","8.9","34.9","39.6","17.4","11.4","8.0","5.3","7.3","6.1","38.1","36.1","8.8","9.9","2.4","2.3","2.9","3.3","15.9","25.0","1.9","3.1","0.0","4.0","0.0","6.9","0.0","38.8","0.0","9.0","0.0","4.0","0.0","6.9","0.0","38.8","0.0","9.0","1.4","2.2","2.4","3.7","0.0","38.8","0.0","9.0","14299","3358","13875","8842","53750","20128","14543","4523","28929","11141","32727","18373","N","N","22276","5820","39.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","41.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","36.7","(X)"
"1400000US47157000900","Census Tract 9, Shelby County, Tennessee","1165","105","609","125","168","93","556","124","29.7","8.6","18.6","11.7","20.2","24.3","41.9","12.3","13.7","6.7","10.5","7.8","0.0","18.7","18.9","11.6","17.7","7.2","13.6","10.3","4.2","6.2","20.5","11.7","15.7","6.3","23.2","10.9","36.3","28.6","7.6","5.4","10.8","5.5","14.8","8.9","14.9","16.6","6.5","5.6","5.0","3.3","9.4","8.0","4.2","7.2","4.7","4.4","5.7","5.4","6.7","8.1","20.2","25.7","0.0","6.1","1.7","1.4","3.3","2.7","0.0","18.7","0.0","6.1","0.0","3.0","0.0","5.6","0.0","18.7","0.0","6.1","0.0","3.0","0.0","5.6","0.0","18.7","0.0","6.1","18790","4401","28443","3933","31477","10005","11731","3121","25613","4668","33883","6746","N","N","15233","2999","36.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","45.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","25.5","(X)"
"1400000US47157001100","Census Tract 11, Shelby County, Tennessee","1094","117","648","121","288","94","446","95","25.0","12.1","28.5","14.9","0.0","11.4","29.4","15.3","9.5","7.1","12.3","11.5","18.1","21.3","5.4","4.2","22.5","6.4","21.3","9.4","37.8","17.8","24.2","9.3","11.2","6.4","3.9","3.5","8.7","9.0","12.3","10.0","12.2","6.9","12.7","9.7","13.9","12.2","11.7","8.6","12.8","7.6","9.9","7.9","8.7","7.8","17.0","13.3","3.3","3.0","5.6","5.0","6.9","10.0","0.0","7.5","1.6","2.6","2.6","4.4","5.9","9.2","0.0","7.5","0.0","3.1","0.0","5.3","0.0","11.4","0.0","7.5","1.9","2.3","3.2","3.9","0.0","11.4","0.0","7.5","20694","6725","18682","4074","20750","17567","21154","7793","32580","8604","35970","12763","N","N","24942","6776","36.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","33.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","40.8","(X)"
