OBJECTID_1,FID_XYHazardSce95,OBJECTID,Field1,Field2,Field3,FID_censustractclip_CensusData,censustractclip_GEO_ID,censustractclip_STATE,censustractclip_COUNTY,censustractclip_TRACT,censustractclip_NAME,censustractclip_LSAD,censustractclip_CENSUSAREA,CensusData_OBJECTID,CensusData_Id,CensusData_Id2,CensusData_Geography,CensusData_Estimate__Total,CensusData_Margin_of_Error__Total,CensusData_Median_income__dollars_,CensusData_Mean_income__dollars_
1,0,1,35.000999999999998,-90.176000000000002,0.045736000000000,218,1400000US47157980300,47,157,980300,9803,Tract,37.552000000000000,220,1400000US47157980300,47157980300.000000000000000,"Census Tract 9803, Shelby County, Tennessee",0,12,0,0
2,46,47,35.000999999999998,-90.165000000000006,0.032683000000000,218,1400000US47157980300,47,157,980300,9803,Tract,37.552000000000000,220,1400000US47157980300,47157980300.000000000000000,"Census Tract 9803, Shelby County, Tennessee",0,12,0,0
3,92,93,35.000999999999998,-90.153999999999996,0.048251000000000,218,1400000US47157980300,47,157,980300,9803,Tract,37.552000000000000,220,1400000US47157980300,47157980300.000000000000000,"Census Tract 9803, Shelby County, Tennessee",0,12,0,0
4,138,139,35.000999999999998,-90.143000000000001,0.048472000000000,218,1400000US47157980300,47,157,980300,9803,Tract,37.552000000000000,220,1400000US47157980300,47157980300.000000000000000,"Census Tract 9803, Shelby County, Tennessee",0,12,0,0
5,184,185,35.000999999999998,-90.131900000000002,0.039432000000000,208,1400000US47157022210,47,157,022210,222.10,Tract,7.586000000000000,208,1400000US47157022210,47157022210.000000000000000,"Census Tract 222.10, Shelby County, Tennessee",4578,454,30500,38788
6,230,231,35.000999999999998,-90.120900000000006,0.070087000000000,208,1400000US47157022210,47,157,022210,222.10,Tract,7.586000000000000,208,1400000US47157022210,47157022210.000000000000000,"Census Tract 222.10, Shelby County, Tennessee",4578,454,30500,38788
7,276,277,35.000999999999998,-90.109899999999996,0.116079000000000,213,1400000US47157022410,47,157,022410,224.10,Tract,5.048000000000000,214,1400000US47157022410,47157022410.000000000000000,"Census Tract 224.10, Shelby County, Tennessee",6916,769,45781,51809
8,322,323,35.000999999999998,-90.098900000000000,0.109535000000000,213,1400000US47157022410,47,157,022410,224.10,Tract,5.048000000000000,214,1400000US47157022410,47157022410.000000000000000,"Census Tract 224.10, Shelby County, Tennessee",6916,769,45781,51809
9,368,369,35.000999999999998,-90.087900000000005,0.117198000000000,213,1400000US47157022410,47,157,022410,224.10,Tract,5.048000000000000,214,1400000US47157022410,47157022410.000000000000000,"Census Tract 224.10, Shelby County, Tennessee",6916,769,45781,51809
10,414,415,35.000999999999998,-90.076899999999995,0.101664000000000,213,1400000US47157022410,47,157,022410,224.10,Tract,5.048000000000000,214,1400000US47157022410,47157022410.000000000000000,"Census Tract 224.10, Shelby County, Tennessee",6916,769,45781,51809
11,460,461,35.000999999999998,-90.065899999999999,0.090720000000000,25,1400000US47157022700,47,157,022700,227,Tract,3.191000000000000,217,1400000US47157022700,47157022700.000000000000000,"Census Tract 227, Shelby County, Tennessee",6759,741,26465,33178
12,506,507,35.000999999999998,-90.054800000000000,0.066524000000000,25,1400000US47157022700,47,157,022700,227,Tract,3.191000000000000,217,1400000US47157022700,47157022700.000000000000000,"Census Tract 227, Shelby County, Tennessee",6759,741,26465,33178
13,552,553,35.000999999999998,-90.043800000000005,0.040564000000000,25,1400000US47157022700,47,157,022700,227,Tract,3.191000000000000,217,1400000US47157022700,47157022700.000000000000000,"Census Tract 227, Shelby County, Tennessee",6759,741,26465,33178
14,598,599,35.000999999999998,-90.032799999999995,0.058640000000000,207,1400000US47157022130,47,157,022130,221.30,Tract,1.900000000000000,207,1400000US47157022130,47157022130.000000000000000,"Census Tract 221.30, Shelby County, Tennessee",5916,702,45552,56675
15,644,645,35.000999999999998,-90.021799999999999,0.066013000000000,207,1400000US47157022130,47,157,022130,221.30,Tract,1.900000000000000,207,1400000US47157022130,47157022130.000000000000000,"Census Tract 221.30, Shelby County, Tennessee",5916,702,45552,56675
16,690,691,35.000999999999998,-90.010800000000003,0.047856000000000,207,1400000US47157022130,47,157,022130,221.30,Tract,1.900000000000000,207,1400000US47157022130,47157022130.000000000000000,"Census Tract 221.30, Shelby County, Tennessee",5916,702,45552,56675
17,736,737,35.000999999999998,-89.999799999999993,0.069702000000000,207,1400000US47157022130,47,157,022130,221.30,Tract,1.900000000000000,207,1400000US47157022130,47157022130.000000000000000,"Census Tract 221.30, Shelby County, Tennessee",5916,702,45552,56675
18,782,783,35.000999999999998,-89.988699999999994,0.114659000000000,201,1400000US47157021900,47,157,021900,219,Tract,5.808000000000000,199,1400000US47157021900,47157021900.000000000000000,"Census Tract 219, Shelby County, Tennessee",5409,613,37763,42255
19,828,829,35.000999999999998,-89.977699999999999,0.140694000000000,201,1400000US47157021900,47,157,021900,219,Tract,5.808000000000000,199,1400000US47157021900,47157021900.000000000000000,"Census Tract 219, Shelby County, Tennessee",5409,613,37763,42255
20,874,875,35.000999999999998,-89.966700000000003,0.083098000000000,201,1400000US47157021900,47,157,021900,219,Tract,5.808000000000000,199,1400000US47157021900,47157021900.000000000000000,"Census Tract 219, Shelby County, Tennessee",5409,613,37763,42255
21,920,921,35.000999999999998,-89.955699999999993,0.085930000000000,201,1400000US47157021900,47,157,021900,219,Tract,5.808000000000000,199,1400000US47157021900,47157021900.000000000000000,"Census Tract 219, Shelby County, Tennessee",5409,613,37763,42255
22,966,967,35.000999999999998,-89.944699999999997,0.136050000000000,201,1400000US47157021900,47,157,021900,219,Tract,5.808000000000000,199,1400000US47157021900,47157021900.000000000000000,"Census Tract 219, Shelby County, Tennessee",5409,613,37763,42255
