OBJECTID,FID_PowerDemandVT,PowerNodes,Mean,Mode,Cluster,Entropy,Median,StDev,IQR,FID_censustractclip_CensusData,censustractclip_GEO_ID,censustractclip_STATE,censustractclip_COUNTY,censustractclip_TRACT,censustractclip_NAME,censustractclip_LSAD,censustractclip_CENSUSAREA,censustractclip_Area,CensusData_OBJECTID,CensusData_Id,CensusData_Id2,CensusData_Geography,CensusData_Estimate__Total,CensusData_Margin_of_Error__Total,CensusData_Median_income__dollars_,CensusData_Mean_income__dollars_,Shape_Length,Shape_Area
1,0,0,10919.2857143,0,0.000000000000000,1,10013,8156,11571,208,1400000US47157022210,47,157,022210,222.10,Tract,7.586000000000000,221918880.0000000,208,1400000US47157022210,47157022210.000000000000000,"Census Tract 222.10, Shelby County, Tennessee",4578,454,30500,38788,17455.635599856897898,15086649.473291937261820
2,0,0,10919.2857143,0,0.000000000000000,1,10013,8156,11571,217,1400000US47157980200,47,157,980200,9802,Tract,15.936000000000000,490492864.0000000,219,1400000US47157980200,47157980200.000000000000000,"Census Tract 9802, Shelby County, Tennessee",0,12,0,0,81651.564548184731393,378355995.755538225173950
3,0,0,10919.2857143,0,0.000000000000000,1,10013,8156,11571,218,1400000US47157980300,47,157,980300,9803,Tract,37.552000000000000,1100141184.0000000,220,1400000US47157980300,47157980300.000000000000000,"Census Tract 9803, Shelby County, Tennessee",0,12,0,0,163424.506714639923302,766870934.517725467681885
4,1,0,14844.3333333,1,-1.000000000000000,2,14988,11570,19868,24,1400000US47157022321,47,157,022321,223.21,Tract,1.640000000000000,45808688.0000000,211,1400000US47157022321,47157022321.000000000000000,"Census Tract 223.21, Shelby County, Tennessee",3740,626,32995,42962,24300.732267420062271,30774002.420301068574190
5,1,0,14844.3333333,1,-1.000000000000000,2,14988,11570,19868,208,1400000US47157022210,47,157,022210,222.10,Tract,7.586000000000000,221918880.0000000,208,1400000US47157022210,47157022210.000000000000000,"Census Tract 222.10, Shelby County, Tennessee",4578,454,30500,38788,82534.252388718450675,206807387.912515252828598
6,1,0,14844.3333333,1,-1.000000000000000,2,14988,11570,19868,209,1400000US47157022220,47,157,022220,222.20,Tract,2.727000000000000,75967456.0000000,209,1400000US47157022220,47157022220.000000000000000,"Census Tract 222.20, Shelby County, Tennessee",3340,362,29329,34844,27074.186770050218911,24122604.708681263029575
7,1,0,14844.3333333,1,-1.000000000000000,2,14988,11570,19868,210,1400000US47157022310,47,157,022310,223.10,Tract,2.533000000000000,70917208.0000000,210,1400000US47157022310,47157022310.000000000000000,"Census Tract 223.10, Shelby County, Tennessee",5891,689,23059,37369,34248.997824262551148,70917207.548546224832535
8,1,0,14844.3333333,1,-1.000000000000000,2,14988,11570,19868,211,1400000US47157022322,47,157,022322,223.22,Tract,1.602000000000000,44816076.0000000,212,1400000US47157022322,47157022322.000000000000000,"Census Tract 223.22, Shelby County, Tennessee",3867,438,34674,44066,16380.529504277039450,12714020.301818877458572
9,1,0,14844.3333333,1,-1.000000000000000,2,14988,11570,19868,212,1400000US47157022330,47,157,022330,223.30,Tract,1.627000000000000,45233540.0000000,213,1400000US47157022330,47157022330.000000000000000,"Census Tract 223.30, Shelby County, Tennessee",5041,440,33262,40707,27751.737578866246622,44835184.221992149949074
10,1,0,14844.3333333,1,-1.000000000000000,2,14988,11570,19868,213,1400000US47157022410,47,157,022410,224.10,Tract,5.048000000000000,143800240.0000000,214,1400000US47157022410,47157022410.000000000000000,"Census Tract 224.10, Shelby County, Tennessee",6916,769,45781,51809,54845.566399148032360,79758086.224217519164085
11,1,0,14844.3333333,1,-1.000000000000000,2,14988,11570,19868,214,1400000US47157022500,47,157,022500,225,Tract,6.037000000000000,168625152.0000000,215,1400000US47157022500,47157022500.000000000000000,"Census Tract 225, Shelby County, Tennessee",5293,774,41308,57776,2469.430103738535308,258669.189619362965459
12,1,0,14844.3333333,1,-1.000000000000000,2,14988,11570,19868,218,1400000US47157980300,47,157,980300,9803,Tract,37.552000000000000,1100141184.0000000,220,1400000US47157980300,47157980300.000000000000000,"Census Tract 9803, Shelby County, Tennessee",0,12,0,0,93200.211541016775300,303690470.575981259346008
13,2,0,9455.2,0,0.000000000000000,1,6602,9218,11760,119,1400000US47157005300,47,157,005300,53,Tract,2.284000000000000,68989768.0000000,40,1400000US47157005300,47157005300.000000000000000,"Census Tract 53, Shelby County, Tennessee",2895,342,19781,27377,31221.955145115236519,53642234.409798219799995
14,2,0,9455.2,0,0.000000000000000,1,6602,9218,11760,120,1400000US47157005500,47,157,005500,55,Tract,1.295000000000000,36476980.0000000,41,1400000US47157005500,47157005500.000000000000000,"Census Tract 55, Shelby County, Tennessee",2078,337,17790,29063,5044.452934472185007,480067.508344885951374
15,2,0,9455.2,0,0.000000000000000,1,6602,9218,11760,208,1400000US47157022210,47,157,022210,222.10,Tract,7.586000000000000,221918880.0000000,208,1400000US47157022210,47157022210.000000000000000,"Census Tract 222.10, Shelby County, Tennessee",4578,454,30500,38788,801.834085193899227,20858.177095688122790
16,2,0,9455.2,0,0.000000000000000,1,6602,9218,11760,209,1400000US47157022220,47,157,022220,222.20,Tract,2.727000000000000,75967456.0000000,209,1400000US47157022220,47157022220.000000000000000,"Census Tract 222.20, Shelby County, Tennessee",3340,362,29329,34844,28957.301430596318824,40497418.941812150180340
17,2,0,9455.2,0,0.000000000000000,1,6602,9218,11760,217,1400000US47157980200,47,157,980200,9802,Tract,15.936000000000000,490492864.0000000,219,1400000US47157980200,47157980200.000000000000000,"Census Tract 9802, Shelby County, Tennessee",0,12,0,0,37833.678627154455171,73335180.972064092755318
18,2,0,9455.2,0,0.000000000000000,1,6602,9218,11760,218,1400000US47157980300,47,157,980300,9803,Tract,37.552000000000000,1100141184.0000000,220,1400000US47157980300,47157980300.000000000000000,"Census Tract 9803, Shelby County, Tennessee",0,12,0,0,23516.768236369785882,29493302.411646753549576
19,3,0,10867.3333333,0,0.000000000000000,1,8308,11161,7751,1,1400000US47157011700,47,157,011700,117,Tract,1.363000000000000,37997408.0000000,106,1400000US47157011700,47157011700.000000000000000,"Census Tract 117, Shelby County, Tennessee",1507,285,25921,30810,25291.027943624401814,35863299.763077400624752
20,3,0,10867.3333333,0,0.000000000000000,1,8308,11161,7751,34,1400000US47157005000,47,157,005000,50,Tract,0.339000000000000,9468120.0000000,39,1400000US47157005000,47157005000.000000000000000,"Census Tract 50, Shelby County, Tennessee",1038,222,14826,20312,8442.940759286077082,4078493.140200197231025
21,3,0,10867.3333333,0,0.000000000000000,1,8308,11161,7751,35,1400000US47157005800,47,157,005800,58,Tract,0.273000000000000,7582606.5000000,44,1400000US47157005800,47157005800.000000000000000,"Census Tract 58, Shelby County, Tennessee",944,177,11901,27880,11082.854573018759766,7582606.368224054574966
22,3,0,10867.3333333,0,0.000000000000000,1,8308,11161,7751,97,1400000US47157011600,47,157,011600,116,Tract,0.591000000000000,16412050.0000000,105,1400000US47157011600,47157011600.000000000000000,"Census Tract 116, Shelby County, Tennessee",2449,383,17609,21994,6607.271844822862477,1501374.621929157990962
23,3,0,10867.3333333,0,0.000000000000000,1,8308,11161,7751,117,1400000US47157004300,47,157,004300,43,Tract,0.523000000000000,18000988.0000000,36,1400000US47157004300,47157004300.000000000000000,"Census Tract 43, Shelby County, Tennessee",1576,170,82931,108078,9868.075275091647200,3475962.678806119132787
24,3,0,10867.3333333,0,0.000000000000000,1,8308,11161,7751,119,1400000US47157005300,47,157,005300,53,Tract,2.284000000000000,68989768.0000000,40,1400000US47157005300,47157005300.000000000000000,"Census Tract 53, Shelby County, Tennessee",2895,342,19781,27377,16056.052621998935138,13299499.817901944741607
25,3,0,10867.3333333,0,0.000000000000000,1,8308,11161,7751,120,1400000US47157005500,47,157,005500,55,Tract,1.295000000000000,36476980.0000000,41,1400000US47157005500,47157005500.000000000000000,"Census Tract 55, Shelby County, Tennessee",2078,337,17790,29063,12246.570712203563744,8615042.258190980181098
26,3,0,10867.3333333,0,0.000000000000000,1,8308,11161,7751,122,1400000US47157005700,47,157,005700,57,Tract,0.559000000000000,15630515.0000000,43,1400000US47157005700,47157005700.000000000000000,"Census Tract 57, Shelby County, Tennessee",2367,421,27031,33256,9822.049029860054361,3174861.775695126969367
27,3,0,10867.3333333,0,0.000000000000000,1,8308,11161,7751,123,1400000US47157005900,47,157,005900,59,Tract,0.548000000000000,15283924.0000000,45,1400000US47157005900,47157005900.000000000000000,"Census Tract 59, Shelby County, Tennessee",2473,467,18456,23553,12287.096702001977974,9950288.612747300416231
28,3,0,10867.3333333,0,0.000000000000000,1,8308,11161,7751,217,1400000US47157980200,47,157,980200,9802,Tract,15.936000000000000,490492864.0000000,219,1400000US47157980200,47157980200.000000000000000,"Census Tract 9802, Shelby County, Tennessee",0,12,0,0,33964.626269733140361,38801687.164428696036339
29,4,0,21263.2,2,-1.000000000000000,2,23971,7751,9738,22,1400000US47157022111,47,157,022111,221.11,Tract,1.605000000000000,44885872.0000000,203,1400000US47157022111,47157022111.000000000000000,"Census Tract 221.11, Shelby County, Tennessee",5066,658,31725,35282,5627.012254889696123,1240186.096194878220558
30,4,0,21263.2,2,-1.000000000000000,2,23971,7751,9738,24,1400000US47157022321,47,157,022321,223.21,Tract,1.640000000000000,45808688.0000000,211,1400000US47157022321,47157022321.000000000000000,"Census Tract 223.21, Shelby County, Tennessee",3740,626,32995,42962,698.476647640544570,20130.649679005437065
31,4,0,21263.2,2,-1.000000000000000,2,23971,7751,9738,25,1400000US47157022700,47,157,022700,227,Tract,3.191000000000000,89273152.0000000,217,1400000US47157022700,47157022700.000000000000000,"Census Tract 227, Shelby County, Tennessee",6759,741,26465,33178,38831.613897238567006,89273147.655432552099228
32,4,0,21263.2,2,-1.000000000000000,2,23971,7751,9738,206,1400000US47157022121,47,157,022121,221.21,Tract,1.689000000000000,47065204.0000000,205,1400000US47157022121,47157022121.000000000000000,"Census Tract 221.21, Shelby County, Tennessee",4961,501,64115,67950,20217.161075542837352,19496662.482881605625153
33,4,0,21263.2,2,-1.000000000000000,2,23971,7751,9738,207,1400000US47157022130,47,157,022130,221.30,Tract,1.900000000000000,55323612.0000000,207,1400000US47157022130,47157022130.000000000000000,"Census Tract 221.30, Shelby County, Tennessee",5916,702,45552,56675,25147.165196192447183,31093853.924163997173309
34,4,0,21263.2,2,-1.000000000000000,2,23971,7751,9738,211,1400000US47157022322,47,157,022322,223.22,Tract,1.602000000000000,44816076.0000000,212,1400000US47157022322,47157022322.000000000000000,"Census Tract 223.22, Shelby County, Tennessee",3867,438,34674,44066,22724.383758243795455,27283642.443036831915379
35,4,0,21263.2,2,-1.000000000000000,2,23971,7751,9738,212,1400000US47157022330,47,157,022330,223.30,Tract,1.627000000000000,45233540.0000000,213,1400000US47157022330,47157022330.000000000000000,"Census Tract 223.30, Shelby County, Tennessee",5041,440,33262,40707,3031.829123879557301,398357.812263703090139
36,4,0,21263.2,2,-1.000000000000000,2,23971,7751,9738,213,1400000US47157022410,47,157,022410,224.10,Tract,5.048000000000000,143800240.0000000,214,1400000US47157022410,47157022410.000000000000000,"Census Tract 224.10, Shelby County, Tennessee",6916,769,45781,51809,40851.549963206743996,64042151.185323365032673
37,5,0,13771.1666667,0,0.000000000000000,1,13218,10941,10636,1,1400000US47157011700,47,157,011700,117,Tract,1.363000000000000,37997408.0000000,106,1400000US47157011700,47157011700.000000000000000,"Census Tract 117, Shelby County, Tennessee",1507,285,25921,30810,6662.380723713163206,2134109.928752957843244
38,5,0,13771.1666667,0,0.000000000000000,1,13218,10941,10636,33,1400000US47157004500,47,157,004500,45,Tract,0.216000000000000,6041130.0000000,37,1400000US47157004500,47157004500.000000000000000,"Census Tract 45, Shelby County, Tennessee",647,134,21574,25263,9402.133266842321973,5692968.970082977786660
39,5,0,13771.1666667,0,0.000000000000000,1,13218,10941,10636,34,1400000US47157005000,47,157,005000,50,Tract,0.339000000000000,9468120.0000000,39,1400000US47157005000,47157005000.000000000000000,"Census Tract 50, Shelby County, Tennessee",1038,222,14826,20312,9548.417401200349559,5389626.980037623085082
40,5,0,13771.1666667,0,0.000000000000000,1,13218,10941,10636,96,1400000US47157011400,47,157,011400,114,Tract,1.102000000000000,30763410.0000000,103,1400000US47157011400,47157011400.000000000000000,"Census Tract 114, Shelby County, Tennessee",5646,416,11226,22721,20043.952243771505891,19309022.311847921460867
41,5,0,13771.1666667,0,0.000000000000000,1,13218,10941,10636,97,1400000US47157011600,47,157,011600,116,Tract,0.591000000000000,16412050.0000000,105,1400000US47157011600,47157011600.000000000000000,"Census Tract 116, Shelby County, Tennessee",2449,383,17609,21994,13669.661062175990082,11413800.696863312274218
42,5,0,13771.1666667,0,0.000000000000000,1,13218,10941,10636,116,1400000US47157004200,47,157,004200,42,Tract,0.646000000000000,28873128.0000000,35,1400000US47157004200,47157004200.000000000000000,"Census Tract 42, Shelby County, Tennessee",2682,179,59450,82311,15832.132849912401070,12422971.407116277143359
43,5,0,13771.1666667,0,0.000000000000000,1,13218,10941,10636,117,1400000US47157004300,47,157,004300,43,Tract,0.523000000000000,18000988.0000000,36,1400000US47157004300,47157004300.000000000000000,"Census Tract 43, Shelby County, Tennessee",1576,170,82931,108078,18445.018751813939161,14525026.685604147613049
44,5,0,13771.1666667,0,0.000000000000000,1,13218,10941,10636,118,1400000US47157004600,47,157,004600,46,Tract,0.495000000000000,13761481.0000000,38,1400000US47157004600,47157004600.000000000000000,"Census Tract 46, Shelby County, Tennessee",1375,157,23561,31217,3408.327406062096543,457375.176961794029921
45,5,0,13771.1666667,0,0.000000000000000,1,13218,10941,10636,123,1400000US47157005900,47,157,005900,59,Tract,0.548000000000000,15283924.0000000,45,1400000US47157005900,47157005900.000000000000000,"Census Tract 59, Shelby County, Tennessee",2473,467,18456,23553,1517.568427106478566,80315.627886764472350
46,6,0,17865.7142857,1,1.000000000000000,2,15675,11170,20884,24,1400000US47157022321,47,157,022321,223.21,Tract,1.640000000000000,45808688.0000000,211,1400000US47157022321,47157022321.000000000000000,"Census Tract 223.21, Shelby County, Tennessee",3740,626,32995,42962,8492.233211176475379,3474782.905078348703682
47,6,0,17865.7142857,1,1.000000000000000,2,15675,11170,20884,39,1400000US47157007822,47,157,007822,78.22,Tract,0.901000000000000,25005718.0000000,63,1400000US47157007822,47157007822.000000000000000,"Census Tract 78.22, Shelby County, Tennessee",1775,301,22888,28896,13469.402945314994213,7137321.181154452264309
48,6,0,17865.7142857,1,1.000000000000000,2,15675,11170,20884,60,1400000US47157007500,47,157,007500,75,Tract,0.667000000000000,18585752.0000000,60,1400000US47157007500,47157007500.000000000000000,"Census Tract 75, Shelby County, Tennessee",1563,335,22240,29829,17497.931965805822983,18150439.302686646580696
49,6,0,17865.7142857,1,1.000000000000000,2,15675,11170,20884,61,1400000US47157007810,47,157,007810,78.10,Tract,2.310000000000000,64478900.0000000,61,1400000US47157007810,47157007810.000000000000000,"Census Tract 78.10, Shelby County, Tennessee",2274,355,26637,30587,12884.172263136342735,6711696.139084341935813
50,6,0,17865.7142857,1,1.000000000000000,2,15675,11170,20884,119,1400000US47157005300,47,157,005300,53,Tract,2.284000000000000,68989768.0000000,40,1400000US47157005300,47157005300.000000000000000,"Census Tract 53, Shelby County, Tennessee",2895,342,19781,27377,13163.687542134737669,2048031.439260919112712
51,6,0,17865.7142857,1,1.000000000000000,2,15675,11170,20884,120,1400000US47157005500,47,157,005500,55,Tract,1.295000000000000,36476980.0000000,41,1400000US47157005500,47157005500.000000000000000,"Census Tract 55, Shelby County, Tennessee",2078,337,17790,29063,23503.412129348038434,27381869.101983383297920
52,6,0,17865.7142857,1,1.000000000000000,2,15675,11170,20884,121,1400000US47157005600,47,157,005600,56,Tract,1.620000000000000,44867228.0000000,42,1400000US47157005600,47157005600.000000000000000,"Census Tract 56, Shelby County, Tennessee",3590,376,26068,34564,30283.916163221390889,44867228.226265147328377
53,6,0,17865.7142857,1,1.000000000000000,2,15675,11170,20884,122,1400000US47157005700,47,157,005700,57,Tract,0.559000000000000,15630515.0000000,43,1400000US47157005700,47157005700.000000000000000,"Census Tract 57, Shelby County, Tennessee",2367,421,27031,33256,17052.226280730501458,12123652.077226776629686
54,6,0,17865.7142857,1,1.000000000000000,2,15675,11170,20884,123,1400000US47157005900,47,157,005900,59,Tract,0.548000000000000,15283924.0000000,45,1400000US47157005900,47157005900.000000000000000,"Census Tract 59, Shelby County, Tennessee",2473,467,18456,23553,4947.797350276438010,698101.571692099794745
55,6,0,17865.7142857,1,1.000000000000000,2,15675,11170,20884,124,1400000US47157006000,47,157,006000,60,Tract,0.590000000000000,16464045.0000000,46,1400000US47157006000,47157006000.000000000000000,"Census Tract 60, Shelby County, Tennessee",2130,463,26860,33939,5926.157303838695952,1476039.979147021425888
56,6,0,17865.7142857,1,1.000000000000000,2,15675,11170,20884,209,1400000US47157022220,47,157,022220,222.20,Tract,2.727000000000000,75967456.0000000,209,1400000US47157022220,47157022220.000000000000000,"Census Tract 222.20, Shelby County, Tennessee",3340,362,29329,34844,19223.553044764048536,11347434.638503847643733
57,6,0,17865.7142857,1,1.000000000000000,2,15675,11170,20884,214,1400000US47157022500,47,157,022500,225,Tract,6.037000000000000,168625152.0000000,215,1400000US47157022500,47157022500.000000000000000,"Census Tract 225, Shelby County, Tennessee",5293,774,41308,57776,29065.316793840840546,47929088.338724695146084
58,7,0,14386.5,1,1.000000000000000,2,16386,8602,11607,47,1400000US47157000100,47,157,000100,1,Tract,1.616000000000000,72285776.0000000,1,1400000US47157000100,47157000100.000000000000000,"Census Tract 1, Shelby County, Tennessee",6502,569,70184,106502,17949.458994973574590,11967881.884961241856217
