OBJECTID,FID_WaterVT,WaterNodeD,Mean,Mode,Cluster,Entropy,Median,StDev,IQR,FID_censustractclip_CensusData,censustractclip_GEO_ID,censustractclip_STATE,censustractclip_COUNTY,censustractclip_TRACT,censustractclip_NAME,censustractclip_LSAD,censustractclip_CENSUSAREA,censustractclip_Area,CensusData_OBJECTID,CensusData_Id,CensusData_Id2,CensusData_Geography,CensusData_Estimate__Total,CensusData_Margin_of_Error__Total,CensusData_Median_income__dollars_,CensusData_Mean_income__dollars_,Shape_Length,Shape_Area
1,0,0,25429.25,1,1.000000000000000,2,19142,23902,36688,208,1400000US47157022210,47,157,022210,222.10,Tract,7.586000000000000,221918880.0000000,208,1400000US47157022210,47157022210.000000000000000,"Census Tract 222.10, Shelby County, Tennessee",4578,454,30500,38788,84202.799836118036183,219877757.258996039628983
2,0,0,25429.25,1,1.000000000000000,2,19142,23902,36688,209,1400000US47157022220,47,157,022220,222.20,Tract,2.727000000000000,75967456.0000000,209,1400000US47157022220,47157022220.000000000000000,"Census Tract 222.20, Shelby County, Tennessee",3340,362,29329,34844,12661.118312141981733,5607580.444536552764475
3,0,0,25429.25,1,1.000000000000000,2,19142,23902,36688,210,1400000US47157022310,47,157,022310,223.10,Tract,2.533000000000000,70917208.0000000,210,1400000US47157022310,47157022310.000000000000000,"Census Tract 223.10, Shelby County, Tennessee",5891,689,23059,37369,16948.820334696203645,5632170.461454220116138
4,0,0,25429.25,1,1.000000000000000,2,19142,23902,36688,212,1400000US47157022330,47,157,022330,223.30,Tract,1.627000000000000,45233540.0000000,213,1400000US47157022330,47157022330.000000000000000,"Census Tract 223.30, Shelby County, Tennessee",5041,440,33262,40707,6020.459260993679891,1372070.242305254796520
5,0,0,25429.25,1,1.000000000000000,2,19142,23902,36688,213,1400000US47157022410,47,157,022410,224.10,Tract,5.048000000000000,143800240.0000000,214,1400000US47157022410,47157022410.000000000000000,"Census Tract 224.10, Shelby County, Tennessee",6916,769,45781,51809,41739.599240132170962,41703391.801659844815731
6,0,0,25429.25,1,1.000000000000000,2,19142,23902,36688,217,1400000US47157980200,47,157,980200,9802,Tract,15.936000000000000,490492864.0000000,219,1400000US47157980200,47157980200.000000000000000,"Census Tract 9802, Shelby County, Tennessee",0,12,0,0,82847.878565263235942,376753752.343375980854034
7,0,0,25429.25,1,1.000000000000000,2,19142,23902,36688,218,1400000US47157980300,47,157,980300,9803,Tract,37.552000000000000,1100141184.0000000,220,1400000US47157980300,47157980300.000000000000000,"Census Tract 9803, Shelby County, Tennessee",0,12,0,0,190070.653523089189548,1079254185.777363777160645
8,1,0,35135.2,3,-1.000000000000000,2,35191,24808,38592,1,1400000US47157011700,47,157,011700,117,Tract,1.363000000000000,37997408.0000000,106,1400000US47157011700,47157011700.000000000000000,"Census Tract 117, Shelby County, Tennessee",1507,285,25921,30810,27796.522982216076343,37997409.818699918687344
9,1,0,35135.2,3,-1.000000000000000,2,35191,24808,38592,34,1400000US47157005000,47,157,005000,50,Tract,0.339000000000000,9468120.0000000,39,1400000US47157005000,47157005000.000000000000000,"Census Tract 50, Shelby County, Tennessee",1038,222,14826,20312,12117.616680233872103,8675409.754568826407194
10,1,0,35135.2,3,-1.000000000000000,2,35191,24808,38592,35,1400000US47157005800,47,157,005800,58,Tract,0.273000000000000,7582606.5000000,44,1400000US47157005800,47157005800.000000000000000,"Census Tract 58, Shelby County, Tennessee",944,177,11901,27880,11082.854573018759766,7582606.368224054574966
11,1,0,35135.2,3,-1.000000000000000,2,35191,24808,38592,60,1400000US47157007500,47,157,007500,75,Tract,0.667000000000000,18585752.0000000,60,1400000US47157007500,47157007500.000000000000000,"Census Tract 75, Shelby County, Tennessee",1563,335,22240,29829,5797.479596174286598,1960470.377420819364488
12,1,0,35135.2,3,-1.000000000000000,2,35191,24808,38592,96,1400000US47157011400,47,157,011400,114,Tract,1.102000000000000,30763410.0000000,103,1400000US47157011400,47157011400.000000000000000,"Census Tract 114, Shelby County, Tennessee",5646,416,11226,22721,8201.063065500939047,2567438.219987390097231
13,1,0,35135.2,3,-1.000000000000000,2,35191,24808,38592,97,1400000US47157011600,47,157,011600,116,Tract,0.591000000000000,16412050.0000000,105,1400000US47157011600,47157011600.000000000000000,"Census Tract 116, Shelby County, Tennessee",2449,383,17609,21994,5352.689595346640999,973824.228796288254671
14,1,0,35135.2,3,-1.000000000000000,2,35191,24808,38592,116,1400000US47157004200,47,157,004200,42,Tract,0.646000000000000,28873128.0000000,35,1400000US47157004200,47157004200.000000000000000,"Census Tract 42, Shelby County, Tennessee",2682,179,59450,82311,11344.530386851894946,4824247.338349828496575
15,1,0,35135.2,3,-1.000000000000000,2,35191,24808,38592,117,1400000US47157004300,47,157,004300,43,Tract,0.523000000000000,18000988.0000000,36,1400000US47157004300,47157004300.000000000000000,"Census Tract 43, Shelby County, Tennessee",1576,170,82931,108078,20052.473639786119747,17978793.174942109733820
16,1,0,35135.2,3,-1.000000000000000,2,35191,24808,38592,119,1400000US47157005300,47,157,005300,53,Tract,2.284000000000000,68989768.0000000,40,1400000US47157005300,47157005300.000000000000000,"Census Tract 53, Shelby County, Tennessee",2895,342,19781,27377,34656.184679881931515,65839704.469255045056343
17,1,0,35135.2,3,-1.000000000000000,2,35191,24808,38592,120,1400000US47157005500,47,157,005500,55,Tract,1.295000000000000,36476980.0000000,41,1400000US47157005500,47157005500.000000000000000,"Census Tract 55, Shelby County, Tennessee",2078,337,17790,29063,24722.016766939665104,31574781.006110128015280
18,1,0,35135.2,3,-1.000000000000000,2,35191,24808,38592,121,1400000US47157005600,47,157,005600,56,Tract,1.620000000000000,44867228.0000000,42,1400000US47157005600,47157005600.000000000000000,"Census Tract 56, Shelby County, Tennessee",3590,376,26068,34564,19126.759064577854588,19513959.691506884992123
19,1,0,35135.2,3,-1.000000000000000,2,35191,24808,38592,122,1400000US47157005700,47,157,005700,57,Tract,0.559000000000000,15630515.0000000,43,1400000US47157005700,47157005700.000000000000000,"Census Tract 57, Shelby County, Tennessee",2367,421,27031,33256,13702.646809265870615,9733454.740090709179640
20,1,0,35135.2,3,-1.000000000000000,2,35191,24808,38592,123,1400000US47157005900,47,157,005900,59,Tract,0.548000000000000,15283924.0000000,45,1400000US47157005900,47157005900.000000000000000,"Census Tract 59, Shelby County, Tennessee",2473,467,18456,23553,9555.937032156933128,4717931.485906464979053
