OBJECTID,FID_GasVT,population,Mean,Mode,Cluster,Entropy,Median,StDev,IQR,Area,FID_censustractclip_CensusData,censustractclip_GEO_ID,censustractclip_STATE,censustractclip_COUNTY,censustractclip_TRACT,censustractclip_NAME,censustractclip_LSAD,censustractclip_CENSUSAREA,censustractclip_Area,CensusData_OBJECTID,CensusData_Id,CensusData_Id2,CensusData_Geography,CensusData_Estimate__Total,CensusData_Margin_of_Error__Total,CensusData_Median_income__dollars_,CensusData_Mean_income__dollars_,Shape_Length,Shape_Area
1,0,81398,138233.6667,4,-1,0.918295834,135908,58033.46058,86997.75,2518791680,1,1400000US47157011700,47,157,11700,117,Tract,1.363,37997408,106,1400000US47157011700,47157011700,"Census Tract 117, Shelby County, Tennessee",1507,285,25921,30810,0.084759491,37997408
2,0,81398,138233.6667,4,-1,0.918295834,135908,58033.46058,86997.75,2518791680,33,1400000US47157004500,47,157,4500,45,Tract,0.216,6041130,37,1400000US47157004500,47157004500,"Census Tract 45, Shelby County, Tennessee",647,134,21574,25263,0.030215916,6041130
3,0,81398,138233.6667,4,-1,0.918295834,135908,58033.46058,86997.75,2518791680,34,1400000US47157005000,47,157,5000,50,Tract,0.339,9468120,39,1400000US47157005000,47157005000,"Census Tract 50, Shelby County, Tennessee",1038,222,14826,20312,0.038017965,9468120
4,0,81398,138233.6667,4,-1,0.918295834,135908,58033.46058,86997.75,2518791680,35,1400000US47157005800,47,157,5800,58,Tract,0.273,7582606.5,44,1400000US47157005800,47157005800,"Census Tract 58, Shelby County, Tennessee",944,177,11901,27880,0.033388931,7582606.5
5,0,81398,138233.6667,4,-1,0.918295834,135908,58033.46058,86997.75,2518791680,47,1400000US47157000100,47,157,100,1,Tract,1.616,72285776,1,1400000US47157000100,47157000100,"Census Tract 1, Shelby County, Tennessee",6502,569,70184,106502,0.070588909,29165908
6,0,81398,138233.6667,4,-1,0.918295834,135908,58033.46058,86997.75,2518791680,78,1400000US47157009901,47,157,9901,99.01,Tract,6.754,205611328,82,1400000US47157009901,47157009901,"Census Tract 99.01, Shelby County, Tennessee",2982,394,25714,40810,0.001876828,17913.70313
7,0,81398,138233.6667,4,-1,0.918295834,135908,58033.46058,86997.75,2518791680,95,1400000US47157011300,47,157,11300,113,Tract,0.732,20581082,102,1400000US47157011300,47157011300,"Census Tract 113, Shelby County, Tennessee",1387,227,18783,30260,0.059568588,17348116
8,0,81398,138233.6667,4,-1,0.918295834,135908,58033.46058,86997.75,2518791680,96,1400000US47157011400,47,157,11400,114,Tract,1.102,30763410,103,1400000US47157011400,47157011400,"Census Tract 114, Shelby County, Tennessee",5646,416,11226,22721,0.081623485,30763410
9,0,81398,138233.6667,4,-1,0.918295834,135908,58033.46058,86997.75,2518791680,97,1400000US47157011600,47,157,11600,116,Tract,0.591,16412050,105,1400000US47157011600,47157011600,"Census Tract 116, Shelby County, Tennessee",2449,383,17609,21994,0.041555236,11173224
10,0,81398,138233.6667,4,-1,0.918295834,135908,58033.46058,86997.75,2518791680,102,1400000US47157002000,47,157,2000,20,Tract,0.373,10442031,17,1400000US47157002000,47157002000,"Census Tract 20, Shelby County, Tennessee",1840,248,22926,28811,0.0046915,111894.6484
11,0,81398,138233.6667,4,-1,0.918295834,135908,58033.46058,86997.75,2518791680,103,1400000US47157002100,47,157,2100,21,Tract,0.298,8549448,18,1400000US47157002100,47157002100,"Census Tract 21, Shelby County, Tennessee",1355,198,17609,49767,0.032078463,5514993
12,0,81398,138233.6667,4,-1,0.918295834,135908,58033.46058,86997.75,2518791680,104,1400000US47157002400,47,157,2400,24,Tract,0.477,13309610,19,1400000US47157002400,47157002400,"Census Tract 24, Shelby County, Tennessee",2445,280,19873,32953,0.016804336,1303517
13,0,81398,138233.6667,4,-1,0.918295834,135908,58033.46058,86997.75,2518791680,113,1400000US47157003700,47,157,3700,37,Tract,0.268,7546542.5,32,1400000US47157003700,47157003700,"Census Tract 37, Shelby County, Tennessee",1208,119,13615,20984,0.023194733,3517812.75
14,0,81398,138233.6667,4,-1,0.918295834,135908,58033.46058,86997.75,2518791680,114,1400000US47157003800,47,157,3800,38,Tract,0.277,7595320.5,33,1400000US47157003800,47157003800,"Census Tract 38, Shelby County, Tennessee",1128,130,15958,23126,0.028407033,5798859.5
15,0,81398,138233.6667,4,-1,0.918295834,135908,58033.46058,86997.75,2518791680,115,1400000US47157003900,47,157,3900,39,Tract,0.229,6356709.5,34,1400000US47157003900,47157003900,"Census Tract 39, Shelby County, Tennessee",1315,154,10969,23739,0.033547018,6356709.5
16,0,81398,138233.6667,4,-1,0.918295834,135908,58033.46058,86997.75,2518791680,116,1400000US47157004200,47,157,4200,42,Tract,0.646,28873128,35,1400000US47157004200,47157004200,"Census Tract 42, Shelby County, Tennessee",2682,179,59450,82311,0.075404795,28873128
17,0,81398,138233.6667,4,-1,0.918295834,135908,58033.46058,86997.75,2518791680,117,1400000US47157004300,47,157,4300,43,Tract,0.523,18000988,36,1400000US47157004300,47157004300,"Census Tract 43, Shelby County, Tennessee",1576,170,82931,108078,0.062293271,17978792
18,0,81398,138233.6667,4,-1,0.918295834,135908,58033.46058,86997.75,2518791680,118,1400000US47157004600,47,157,4600,46,Tract,0.495,13761481,38,1400000US47157004600,47157004600,"Census Tract 46, Shelby County, Tennessee",1375,157,23561,31217,0.024790727,2907428.75
19,0,81398,138233.6667,4,-1,0.918295834,135908,58033.46058,86997.75,2518791680,119,1400000US47157005300,47,157,5300,53,Tract,2.284,68989768,40,1400000US47157005300,47157005300,"Census Tract 53, Shelby County, Tennessee",2895,342,19781,27377,0.108953522,68989768
20,0,81398,138233.6667,4,-1,0.918295834,135908,58033.46058,86997.75,2518791680,120,1400000US47157005500,47,157,5500,55,Tract,1.295,36476980,41,1400000US47157005500,47157005500,"Census Tract 55, Shelby County, Tennessee",2078,337,17790,29063,0.073189833,32049292
21,0,81398,138233.6667,4,-1,0.918295834,135908,58033.46058,86997.75,2518791680,121,1400000US47157005600,47,157,5600,56,Tract,1.62,44867228,42,1400000US47157005600,47157005600,"Census Tract 56, Shelby County, Tennessee",3590,376,26068,34564,0.030960485,3668151
22,0,81398,138233.6667,4,-1,0.918295834,135908,58033.46058,86997.75,2518791680,122,1400000US47157005700,47,157,5700,57,Tract,0.559,15630515,43,1400000US47157005700,47157005700,"Census Tract 57, Shelby County, Tennessee",2367,421,27031,33256,0.027402965,4542196.5
23,0,81398,138233.6667,4,-1,0.918295834,135908,58033.46058,86997.75,2518791680,123,1400000US47157005900,47,157,5900,59,Tract,0.548,15283924,45,1400000US47157005900,47157005900,"Census Tract 59, Shelby County, Tennessee",2473,467,18456,23553,0.028252033,4663500
24,0,81398,138233.6667,4,-1,0.918295834,135908,58033.46058,86997.75,2518791680,129,1400000US47157020101,47,157,20101,201.01,Tract,53.273,1844317312,108,1400000US47157020101,47157020101,"Census Tract 201.01, Shelby County, Tennessee",4131,699,30479,60872,0.239240829,194787808
25,0,81398,138233.6667,4,-1,0.918295834,135908,58033.46058,86997.75,2518791680,208,1400000US47157022210,47,157,22210,222.1,Tract,7.586,221918880,208,1400000US47157022210,47157022210,"Census Tract 222.10, Shelby County, Tennessee",4578,454,30500,38788,0.255153242,221918880
26,0,81398,138233.6667,4,-1,0.918295834,135908,58033.46058,86997.75,2518791680,209,1400000US47157022220,47,157,22220,222.2,Tract,2.727,75967456,209,1400000US47157022220,47157022220,"Census Tract 222.20, Shelby County, Tennessee",3340,362,29329,34844,0.109954111,54899644
27,0,81398,138233.6667,4,-1,0.918295834,135908,58033.46058,86997.75,2518791680,210,1400000US47157022310,47,157,22310,223.1,Tract,2.533,70917208,210,1400000US47157022310,47157022310,"Census Tract 223.10, Shelby County, Tennessee",5891,689,23059,37369,0.080687431,39920568
28,0,81398,138233.6667,4,-1,0.918295834,135908,58033.46058,86997.75,2518791680,212,1400000US47157022330,47,157,22330,223.3,Tract,1.627,45233540,213,1400000US47157022330,47157022330,"Census Tract 223.30, Shelby County, Tennessee",5041,440,33262,40707,0.050160133,14445530
29,0,81398,138233.6667,4,-1,0.918295834,135908,58033.46058,86997.75,2518791680,213,1400000US47157022410,47,157,22410,224.1,Tract,5.048,143800240,214,1400000US47157022410,47157022410,"Census Tract 224.10, Shelby County, Tennessee",6916,769,45781,51809,0.137942431,49925612
30,0,81398,138233.6667,4,-1,0.918295834,135908,58033.46058,86997.75,2518791680,217,1400000US47157980200,47,157,980200,9802,Tract,15.936,490492864,219,1400000US47157980200,47157980200,"Census Tract 9802, Shelby County, Tennessee",0,12,0,0,0.319660152,485651520
31,0,81398,138233.6667,4,-1,0.918295834,135908,58033.46058,86997.75,2518791680,218,1400000US47157980300,47,157,980300,9803,Tract,37.552,1100141184,220,1400000US47157980300,47157980300,"Census Tract 9803, Shelby County, Tennessee",0,12,0,0,0.617884997,1094360832
32,0,81398,138233.6667,4,-1,0.918295834,135908,58033.46058,86997.75,2518791680,220,1400000US47157000200,47,157,200,2,Tract,0.408,11892734,2,1400000US47157000200,47157000200,"Census Tract 2, Shelby County, Tennessee",893,177,14451,23112,0.007124002,208947.5625
33,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,2,1400000US47157011800,47,157,11800,118,Tract,1.483,41451196,107,1400000US47157011800,47157011800,"Census Tract 118, Shelby County, Tennessee",5944,651,37241,48662,0.077087973,30854612
34,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,22,1400000US47157022111,47,157,22111,221.11,Tract,1.605,44885872,203,1400000US47157022111,47157022111,"Census Tract 221.11, Shelby County, Tennessee",5066,658,31725,35282,0.086307942,44885872
35,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,23,1400000US47157022122,47,157,22122,221.22,Tract,1.011,28202550,206,1400000US47157022122,47157022122,"Census Tract 221.22, Shelby County, Tennessee",4135,418,34911,48576,0.064587483,28202550
36,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,24,1400000US47157022321,47,157,22321,223.21,Tract,1.64,45808688,211,1400000US47157022321,47157022321,"Census Tract 223.21, Shelby County, Tennessee",3740,626,32995,42962,0.088890331,45808688
37,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,25,1400000US47157022700,47,157,22700,227,Tract,3.191,89273152,217,1400000US47157022700,47157022700,"Census Tract 227, Shelby County, Tennessee",6759,741,26465,33178,0.118753195,89273152
38,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,30,1400000US47157002700,47,157,2700,27,Tract,0.524,14508687,22,1400000US47157002700,47157002700,"Census Tract 27, Shelby County, Tennessee",2045,468,40043,54499,0.016615082,754982.3125
39,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,31,1400000US47157003200,47,157,3200,32,Tract,0.553,15410713,27,1400000US47157003200,47157003200,"Census Tract 32, Shelby County, Tennessee",3696,320,33851,43047,0.043978668,12159511
40,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,32,1400000US47157003600,47,157,3600,36,Tract,0.468,13098519,31,1400000US47157003600,47157003600,"Census Tract 36, Shelby County, Tennessee",1767,330,21146,46524,0.042502767,10299732
41,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,36,1400000US47157006300,47,157,6300,63,Tract,0.467,12863532,48,1400000US47157006300,47157006300,"Census Tract 63, Shelby County, Tennessee",2563,300,44261,67468,0.049040885,12863532
42,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,37,1400000US47157006800,47,157,6800,68,Tract,0.497,13881032,53,1400000US47157006800,47157006800,"Census Tract 68, Shelby County, Tennessee",2194,339,17172,26119,0.055192383,13881032
43,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,38,1400000US47157007200,47,157,7200,72,Tract,0.859,23826330,57,1400000US47157007200,47157007200,"Census Tract 72, Shelby County, Tennessee",2453,199,76607,97667,0.059568806,20958352
44,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,39,1400000US47157007822,47,157,7822,78.22,Tract,0.901,25005718,63,1400000US47157007822,47157007822,"Census Tract 78.22, Shelby County, Tennessee",1775,301,22888,28896,0.077241323,25005718
45,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,40,1400000US47157008200,47,157,8200,82,Tract,0.96,26936146,68,1400000US47157008200,47157008200,"Census Tract 82, Shelby County, Tennessee",5298,519,22946,32991,0.074975438,26936146
46,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,45,1400000US47157010630,47,157,10630,106.3,Tract,0.695,19439600,93,1400000US47157010630,47157010630,"Census Tract 106.30, Shelby County, Tennessee",4315,647,22482,28996,0.055429627,19439600
47,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,46,1400000US47157011500,47,157,11500,115,Tract,0.922,25692492,104,1400000US47157011500,47157011500,"Census Tract 115, Shelby County, Tennessee",2823,501,23415,26618,0.073416376,25692492
48,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,54,1400000US47157006700,47,157,6700,67,Tract,0.724,20177384,52,1400000US47157006700,47157006700,"Census Tract 67, Shelby County, Tennessee",3289,747,19653,25772,0.070368906,20177384
49,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,55,1400000US47157006900,47,157,6900,69,Tract,0.741,20558120,54,1400000US47157006900,47157006900,"Census Tract 69, Shelby County, Tennessee",3202,384,29715,38415,0.059046138,20558120
50,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,56,1400000US47157007000,47,157,7000,70,Tract,0.594,16716838,55,1400000US47157007000,47157007000,"Census Tract 70, Shelby County, Tennessee",3489,391,27440,34215,0.060496736,16716838
51,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,57,1400000US47157007100,47,157,7100,71,Tract,0.683,19344270,56,1400000US47157007100,47157007100,"Census Tract 71, Shelby County, Tennessee",2280,263,59191,169269,0.0594475,19344270
52,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,58,1400000US47157007300,47,157,7300,73,Tract,0.74,20719780,58,1400000US47157007300,47157007300,"Census Tract 73, Shelby County, Tennessee",4920,563,22143,60293,0.0211619,2097973.25
53,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,59,1400000US47157007400,47,157,7400,74,Tract,0.654,18146462,59,1400000US47157007400,47157007400,"Census Tract 74, Shelby County, Tennessee",2948,353,42738,55276,0.042136733,9917028
54,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,60,1400000US47157007500,47,157,7500,75,Tract,0.667,18585752,60,1400000US47157007500,47157007500,"Census Tract 75, Shelby County, Tennessee",1563,335,22240,29829,0.05339763,18585752
55,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,61,1400000US47157007810,47,157,7810,78.1,Tract,2.31,64478900,61,1400000US47157007810,47157007810,"Census Tract 78.10, Shelby County, Tennessee",2274,355,26637,30587,0.127510318,64478900
56,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,62,1400000US47157007821,47,157,7821,78.21,Tract,1.348,37496000,62,1400000US47157007821,47157007821,"Census Tract 78.21, Shelby County, Tennessee",5828,814,17677,29993,0.105117753,37496000
57,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,63,1400000US47157007900,47,157,7900,79,Tract,1.057,29470884,64,1400000US47157007900,47157007900,"Census Tract 79, Shelby County, Tennessee",5852,758,22979,33275,0.067988472,29470884
58,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,64,1400000US47157008000,47,157,8000,80,Tract,1.035,28841808,65,1400000US47157008000,47157008000,"Census Tract 80, Shelby County, Tennessee",5109,608,26813,37708,0.065453789,28841808
59,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,65,1400000US47157008110,47,157,8110,81.1,Tract,0.749,20905954,66,1400000US47157008110,47157008110,"Census Tract 81.10, Shelby County, Tennessee",2866,354,20096,35206,0.064628745,20905954
60,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,66,1400000US47157008120,47,157,8120,81.2,Tract,1.236,34267456,67,1400000US47157008120,47157008120,"Census Tract 81.20, Shelby County, Tennessee",3918,370,26114,38399,0.079640362,34267456
61,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,73,1400000US47157009300,47,157,9300,93,Tract,1.239,34470916,76,1400000US47157009300,47157009300,"Census Tract 93, Shelby County, Tennessee",4174,534,50896,75751,0.029486599,4231005
62,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,77,1400000US47157009700,47,157,9700,97,Tract,0.694,19138068,80,1400000US47157009700,47157009700,"Census Tract 97, Shelby County, Tennessee",2787,405,36731,51881,0.052417672,14246940
63,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,85,1400000US47157010500,47,157,10500,105,Tract,1.772,49498016,90,1400000US47157010500,47157010500,"Census Tract 105, Shelby County, Tennessee",1686,358,26250,32277,0.101054943,49498016
64,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,86,1400000US47157010610,47,157,10610,106.1,Tract,1.507,42149428,91,1400000US47157010610,47157010610,"Census Tract 106.10, Shelby County, Tennessee",6335,828,31534,36306,0.082837557,42149428
65,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,87,1400000US47157010620,47,157,10620,106.2,Tract,0.529,14832534,92,1400000US47157010620,47157010620,"Census Tract 106.20, Shelby County, Tennessee",3568,467,27292,32744,0.050104077,14832534
66,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,88,1400000US47157010710,47,157,10710,107.1,Tract,1.52,42416636,94,1400000US47157010710,47157010710,"Census Tract 107.10, Shelby County, Tennessee",4905,641,43672,51602,0.066849394,25954948
67,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,89,1400000US47157010720,47,157,10720,107.2,Tract,0.536,15260899,95,1400000US47157010720,47157010720,"Census Tract 107.20, Shelby County, Tennessee",3891,433,26694,37653,0.007299478,235988.5156
68,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,90,1400000US47157010810,47,157,10810,108.1,Tract,0.918,25567652,96,1400000US47157010810,47157010810,"Census Tract 108.10, Shelby County, Tennessee",6624,696,31541,46475,0.06474911,25567652
69,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,91,1400000US47157010820,47,157,10820,108.2,Tract,0.869,24236170,97,1400000US47157010820,47157010820,"Census Tract 108.20, Shelby County, Tennessee",4240,475,39926,49459,0.027633859,2897238
70,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,92,1400000US47157011020,47,157,11020,110.2,Tract,1.845,51733016,99,1400000US47157011020,47157011020,"Census Tract 110.20, Shelby County, Tennessee",1257,189,29405,40483,0.089452464,51733016
