OBJECTID,FID_TelecomVT,TelecomNod,Mean,Mode,Cluster,Entropy,Median,StDev,IQR,FID_censustractclip_CensusData,censustractclip_GEO_ID,censustractclip_STATE,censustractclip_COUNTY,censustractclip_TRACT,censustractclip_NAME,censustractclip_LSAD,censustractclip_CENSUSAREA,censustractclip_Area,CensusData_OBJECTID,CensusData_Id,CensusData_Id2,CensusData_Geography,CensusData_Estimate__Total,CensusData_Margin_of_Error__Total,CensusData_Median_income__dollars_,CensusData_Mean_income__dollars_,Shape_Length,Shape_Area
1,0,0.000000000000000,-33.433333333299998,3.000000000000000,-1.000000000000000,1.918295834050000,-31.949999999999999,23.066917147000002,7.000000000000000,208,1400000US47157022210,47,157,022210,222.10,Tract,7.586000000000000,221918880.0000000,208,1400000US47157022210,47157022210.000000000000000,"Census Tract 222.10, Shelby County, Tennessee",4578,454,30500,38788,20503.172411947853107,19782070.663614530116320
2,0,0.000000000000000,-33.433333333299998,3.000000000000000,-1.000000000000000,1.918295834050000,-31.949999999999999,23.066917147000002,7.000000000000000,217,1400000US47157980200,47,157,980200,9802,Tract,15.936000000000000,490492864.0000000,219,1400000US47157980200,47157980200.000000000000000,"Census Tract 9802, Shelby County, Tennessee",0,12,0,0,80706.204497197279125,357098363.518001496791840
3,0,0.000000000000000,-33.433333333299998,3.000000000000000,-1.000000000000000,1.918295834050000,-31.949999999999999,23.066917147000002,7.000000000000000,218,1400000US47157980300,47,157,980300,9803,Tract,37.552000000000000,1100141184.0000000,220,1400000US47157980300,47157980300.000000000000000,"Census Tract 9803, Shelby County, Tennessee",0,12,0,0,167807.209360850916710,957240339.051756381988525
4,1,0.000000000000000,-26.140000000000001,3.000000000000000,3.000000000000000,1.521928094890000,-30.899999999999999,14.638408383400000,13.900000000000000,24,1400000US47157022321,47,157,022321,223.21,Tract,1.640000000000000,45808688.0000000,211,1400000US47157022321,47157022321.000000000000000,"Census Tract 223.21, Shelby County, Tennessee",3740,626,32995,42962,26170.555930272730620,37644875.250273309648037
5,1,0.000000000000000,-26.140000000000001,3.000000000000000,3.000000000000000,1.521928094890000,-30.899999999999999,14.638408383400000,13.900000000000000,119,1400000US47157005300,47,157,005300,53,Tract,2.284000000000000,68989768.0000000,40,1400000US47157005300,47157005300.000000000000000,"Census Tract 53, Shelby County, Tennessee",2895,342,19781,27377,5671.299798252302026,732651.573753540171310
6,1,0.000000000000000,-26.140000000000001,3.000000000000000,3.000000000000000,1.521928094890000,-30.899999999999999,14.638408383400000,13.900000000000000,208,1400000US47157022210,47,157,022210,222.10,Tract,7.586000000000000,221918880.0000000,208,1400000US47157022210,47157022210.000000000000000,"Census Tract 222.10, Shelby County, Tennessee",4578,454,30500,38788,82080.011974512992310,202136813.504629343748093
7,1,0.000000000000000,-26.140000000000001,3.000000000000000,3.000000000000000,1.521928094890000,-30.899999999999999,14.638408383400000,13.900000000000000,209,1400000US47157022220,47,157,022220,222.20,Tract,2.727000000000000,75967456.0000000,209,1400000US47157022220,47157022220.000000000000000,"Census Tract 222.20, Shelby County, Tennessee",3340,362,29329,34844,35236.481745299257454,71762240.539129048585892
8,1,0.000000000000000,-26.140000000000001,3.000000000000000,3.000000000000000,1.521928094890000,-30.899999999999999,14.638408383400000,13.900000000000000,210,1400000US47157022310,47,157,022310,223.10,Tract,2.533000000000000,70917208.0000000,210,1400000US47157022310,47157022310.000000000000000,"Census Tract 223.10, Shelby County, Tennessee",5891,689,23059,37369,34248.997824262551148,70917207.548546224832535
9,1,0.000000000000000,-26.140000000000001,3.000000000000000,3.000000000000000,1.521928094890000,-30.899999999999999,14.638408383400000,13.900000000000000,211,1400000US47157022322,47,157,022322,223.22,Tract,1.602000000000000,44816076.0000000,212,1400000US47157022322,47157022322.000000000000000,"Census Tract 223.22, Shelby County, Tennessee",3867,438,34674,44066,16380.528387291295076,12714018.814488815143704
10,1,0.000000000000000,-26.140000000000001,3.000000000000000,3.000000000000000,1.521928094890000,-30.899999999999999,14.638408383400000,13.900000000000000,212,1400000US47157022330,47,157,022330,223.30,Tract,1.627000000000000,45233540.0000000,213,1400000US47157022330,47157022330.000000000000000,"Census Tract 223.30, Shelby County, Tennessee",5041,440,33262,40707,27751.737384104490047,44835183.947519503533840
