 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -5.0149 1.6349 0.0337 -8.2456 -1.9037 2079.8414 0.9997
w_n_t_1 3.2789 0.7443 0.0131 1.8303 4.7421 2843.5032 0.9998
w_a_t_1 3.575 0.7182 0.0113 2.1263 4.9695 3586.5781 0.9998
w_d_t_1 -6.1064 1032.4728 17.6533 -1933.2129 2055.4068 3639.6651 0.9997
w_c_t_1 1.4569 2.4465 0.0572 -3.5065 6.1392 1759.9378 0.9999
y_c_t_1 -0.1091 2.4083 0.0488 -5.0144 4.396 1773.3247 1.0002
Node 0.8511 0.782 0.0156 -0.6248 2.3818 2263.7828 1.0002
Under_Supply -4.2618 1.8779 0.052 -7.6515 -0.4091 1322.6589 1.0015
Flow -1.8933 2.388 0.0666 -6.129 3.1952 1335.3568 1.0021
Arc -0.0609 0.4195 0.0087 -0.8979 0.7364 2704.6357 0.9997
