Parameter,Resource_allocation,Topology,Delta,Delta_CI,Rank
L,All,Random,0.133418,0.0112166,3
N,All,Random,0.123372,0.0117578,5
gamma,All,Random,0.12807,0.0179278,4
Pi,All,Random,0.120811,0.00956979,6
Pd,All,Random,0.15749,0.0137597,2
Rc,All,Random,0.160374,0.0171207,1
L,Uniform,Random,0.0919287,0.0204213,1
N,Uniform,Random,0.0488882,0.0250022,6
gamma,Uniform,Random,0.0808461,0.0190308,2
Pi,Uniform,Random,0.0636926,0.0182741,4
Pd,Uniform,Random,0.0557492,0.0267634,5
Rc,Uniform,Random,0.0776726,0.02287,3
L,MCA,Random,0.0819816,0.0236442,2
N,MCA,Random,0.058399,0.0286817,6
gamma,MCA,Random,0.0828735,0.0228221,1
Pi,MCA,Random,0.0739933,0.0205915,3
Pd,MCA,Random,0.0739253,0.0393326,4
Rc,MCA,Random,0.073691,0.0230512,5
L,MDA,Random,0.0742073,0.0242852,4
N,MDA,Random,0.0519115,0.0233562,6
gamma,MDA,Random,0.0827563,0.0209344,1
Pi,MDA,Random,0.0797891,0.023201,3
Pd,MDA,Random,0.0699385,0.0368338,5
Rc,MDA,Random,0.0814136,0.023345,2
L,MAA,Random,0.062393,0.0196424,5
N,MAA,Random,0.0524332,0.0222486,6
gamma,MAA,Random,0.0885478,0.019037,1
Pi,MAA,Random,0.0673433,0.0207072,4
Pd,MAA,Random,0.0720867,0.0367047,3
Rc,MAA,Random,0.087046,0.0265389,2
L,All,ScaleFree,0.137429,0.0173125,5
N,All,ScaleFree,0.137883,0.0122291,4
gamma,All,ScaleFree,0.147415,0.0160188,2
Pi,All,ScaleFree,0.147181,0.0130822,3
Pd,All,ScaleFree,0.150013,0.0187403,1
Rc,All,ScaleFree,0.106611,0.0158147,6
L,Uniform,ScaleFree,0.17787,0.0305167,1
N,Uniform,ScaleFree,0.114143,0.0228864,2
gamma,Uniform,ScaleFree,0.0879956,0.0279236,5
Pi,Uniform,ScaleFree,0.100872,0.0294021,4
Pd,Uniform,ScaleFree,0.059293,0.0261777,6
Rc,Uniform,ScaleFree,0.113557,0.0213753,3
L,MCA,ScaleFree,0.159118,0.0252184,1
N,MCA,ScaleFree,0.0968265,0.0234538,5
gamma,MCA,ScaleFree,0.106983,0.0283051,3
Pi,MCA,ScaleFree,0.138262,0.0285525,2
Pd,MCA,ScaleFree,0.105559,0.0248084,4
Rc,MCA,ScaleFree,0.0833882,0.018501,6
L,MDA,ScaleFree,0.120852,0.0274514,1
N,MDA,ScaleFree,0.0851994,0.0182388,5
gamma,MDA,ScaleFree,0.0867694,0.0285391,4
Pi,MDA,ScaleFree,0.11577,0.0304165,2
Pd,MDA,ScaleFree,0.100847,0.0247963,3
Rc,MDA,ScaleFree,0.0782852,0.0190873,6
L,MAA,ScaleFree,0.118367,0.0258732,1
N,MAA,ScaleFree,0.078023,0.0185938,5
gamma,MAA,ScaleFree,0.0937245,0.0264211,4
Pi,MAA,ScaleFree,0.0990419,0.023504,3
Pd,MAA,ScaleFree,0.105828,0.0280662,2
Rc,MAA,ScaleFree,0.0717238,0.0212488,6
L,All,Grid,0.225175,0.0127516,1
N,All,Grid,0.146225,0.0123688,4
gamma,All,Grid,0.157932,0.0127753,3
Pi,All,Grid,0.159227,0.012791,2
Pd,All,Grid,0.141771,0.0139888,5
Rc,All,Grid,0.123342,0.0151673,6
L,Uniform,Grid,0.180615,0.0287928,1
N,Uniform,Grid,0.113144,0.0243664,2
gamma,Uniform,Grid,0.0857237,0.0236256,5
Pi,Uniform,Grid,0.102446,0.0222649,4
Pd,Uniform,Grid,0.0592633,0.0181115,6
Rc,Uniform,Grid,0.112968,0.0240401,3
L,MCA,Grid,0.148389,0.0244913,1
N,MCA,Grid,0.0986092,0.0252049,5
gamma,MCA,Grid,0.0777494,0.0234672,6
Pi,MCA,Grid,0.109908,0.0284897,3
Pd,MCA,Grid,0.105122,0.0244867,4
Rc,MCA,Grid,0.115153,0.0202029,2
L,MDA,Grid,0.157659,0.0322449,1
N,MDA,Grid,0.0924979,0.0246297,4
gamma,MDA,Grid,0.0789685,0.0299238,6
Pi,MDA,Grid,0.0961546,0.0260902,3
Pd,MDA,Grid,0.0978898,0.0227208,2
Rc,MDA,Grid,0.0918839,0.0226542,5
L,MAA,Grid,0.14404,0.0281128,1
N,MAA,Grid,0.075985,0.0276497,6
gamma,MAA,Grid,0.0837382,0.0276239,5
Pi,MAA,Grid,0.0941082,0.0244294,3
Pd,MAA,Grid,0.105675,0.0261324,2
Rc,MAA,Grid,0.0931946,0.0216263,4
