Parameter,Resource_allocation,Topology,Delta,Delta_CI,Rank
L,All,Random,0.18945,0.00437159,4
N,All,Random,0.189654,0.0101662,3
gamma,All,Random,0.176692,0.00754495,6
Pi,All,Random,0.201921,0.00899493,2
Pd,All,Random,0.182082,0.00851336,5
Rc,All,Random,0.220921,0.00981165,1
L,Uniform,Random,0.227972,0.00685089,3
N,Uniform,Random,0.227835,0.0126382,4
gamma,Uniform,Random,0.164991,0.021715,6
Pi,Uniform,Random,0.190944,0.0136846,5
Pd,Uniform,Random,0.232912,0.0185067,2
Rc,Uniform,Random,0.59263,0.0202727,1
L,MCA,Random,0.137138,0.00904523,4
N,MCA,Random,0.0944458,0.0106021,6
gamma,MCA,Random,0.153943,0.0176915,1
Pi,MCA,Random,0.101572,0.0110169,5
Pd,MCA,Random,0.140475,0.0166364,2
Rc,MCA,Random,0.140145,0.0238663,3
L,MDA,Random,0.127136,0.0092941,4
N,MDA,Random,0.0882559,0.0115222,5
gamma,MDA,Random,0.156677,0.0148047,1
Pi,MDA,Random,0.0828797,0.0100736,6
Pd,MDA,Random,0.13825,0.0173948,2
Rc,MDA,Random,0.131815,0.0124147,3
L,MAA,Random,0.14304,0.0258685,4
N,MAA,Random,0.127464,0.0320267,5
gamma,MAA,Random,0.178999,0.0354299,1
Pi,MAA,Random,0.112637,0.0315969,6
Pd,MAA,Random,0.165622,0.0367782,2
Rc,MAA,Random,0.154425,0.034628,3
L,All,ScaleFree,0.171044,0.0090207,3
N,All,ScaleFree,0.178814,0.0112648,2
gamma,All,ScaleFree,0.146167,0.0106506,5
Pi,All,ScaleFree,0.114543,0.00954787,6
Pd,All,ScaleFree,0.149879,0.00953342,4
Rc,All,ScaleFree,0.250083,0.013736,1
L,Uniform,ScaleFree,0.24792,0.0195663,3
N,Uniform,ScaleFree,0.302538,0.0221962,2
gamma,Uniform,ScaleFree,0.188018,0.022971,4
Pi,Uniform,ScaleFree,0.142101,0.0218843,6
Pd,Uniform,ScaleFree,0.161923,0.0173909,5
Rc,Uniform,ScaleFree,0.514541,0.0170614,1
L,MCA,ScaleFree,0.133324,0.0140497,1
N,MCA,ScaleFree,0.0923466,0.0136482,4
gamma,MCA,ScaleFree,0.126839,0.0140443,2
Pi,MCA,ScaleFree,0.0909936,0.0128562,5
Pd,MCA,ScaleFree,0.119534,0.0138281,3
Rc,MCA,ScaleFree,0.0887797,0.0113943,6
L,MDA,ScaleFree,0.135184,0.0129168,2
N,MDA,ScaleFree,0.0856897,0.0166017,4
gamma,MDA,ScaleFree,0.10921,0.0154094,3
Pi,MDA,ScaleFree,0.0797742,0.011391,5
Pd,MDA,ScaleFree,0.155297,0.0161546,1
Rc,MDA,ScaleFree,0.0792232,0.0122913,6
L,MAA,ScaleFree,0.170278,0.0375098,2
N,MAA,ScaleFree,0.105151,0.0404148,4
gamma,MAA,ScaleFree,0.128796,0.0274113,3
Pi,MAA,ScaleFree,0.0857693,0.0461124,6
Pd,MAA,ScaleFree,0.222526,0.0441881,1
Rc,MAA,ScaleFree,0.100928,0.0316766,5
L,All,Grid,0.202317,0.0072041,2
N,All,Grid,0.160976,0.00797012,6
gamma,All,Grid,0.173127,0.00487936,3
Pi,All,Grid,0.161127,0.00821885,5
Pd,All,Grid,0.171293,0.00656653,4
Rc,All,Grid,0.21819,0.0080856,1
L,Uniform,Grid,0.256699,0.0165117,3
N,Uniform,Grid,0.222187,0.0178053,4
gamma,Uniform,Grid,0.201138,0.0172951,5
Pi,Uniform,Grid,0.165062,0.0172992,6
Pd,Uniform,Grid,0.304923,0.0157393,2
Rc,Uniform,Grid,0.595459,0.0143947,1
L,MCA,Grid,0.145258,0.0174292,2
N,MCA,Grid,0.0810875,0.0111974,6
gamma,MCA,Grid,0.12166,0.012027,3
Pi,MCA,Grid,0.111284,0.0177533,4
Pd,MCA,Grid,0.149628,0.0162149,1
Rc,MCA,Grid,0.106603,0.0169012,5
L,MDA,Grid,0.123874,0.0192976,2
N,MDA,Grid,0.0586344,0.0134175,6
gamma,MDA,Grid,0.104085,0.0181395,3
Pi,MDA,Grid,0.0840834,0.0172064,4
Pd,MDA,Grid,0.146875,0.0203465,1
Rc,MDA,Grid,0.0677952,0.0165375,5
L,MAA,Grid,0.108451,0.0145042,3
N,MAA,Grid,0.0696536,0.0117411,6
gamma,MAA,Grid,0.11013,0.0127572,2
Pi,MAA,Grid,0.0804892,0.0142524,4
Pd,MAA,Grid,0.14396,0.0164278,1
Rc,MAA,Grid,0.0784644,0.0167253,5
