ID,Length (ft),Length (km),Start Node,End Node,u,f,c,centrality,Arc Type
0,42288.95552,12.890,9,0,339,42289,206,0.071428571,Gas pipe
1,32960.56172,10.046,0,3,339,32961,182,0.071428571,Gas pipe
2,125274.6445,38.184,0,5,880,125275,354,0.185714286,Gas pipe
3,11614.91048,3.540,5,1,1000,11615,108,0.210952381,Gas pipe
4,16475.90029,5.022,1,13,1000,16476,128,0.210952381,Gas pipe
5,20665.06002,6.299,13,7,880,20665,144,0.185714286,Gas pipe
6,13492.81139,4.113,7,8,632,13493,116,0.133333333,Gas pipe
7,17532.32824,5.344,8,15,339,17532,132,0.071428571,Gas pipe
8,67615.11032,20.609,5,4,440,67615,260,0.092857143,Gas pipe
9,79334.72402,24.181,4,10,413,79335,282,0.087142857,Gas pipe
10,60109.86955,18.321,10,5,573,60110,245,0.120952381,Gas pipe
11,22315.05445,6.802,10,2,810,22315,149,0.170952381,Gas pipe
12,8654.724453,2.638,2,11,783,8655,93,0.165238095,Gas pipe
13,8116.256921,2.474,11,12,339,8116,90,0.071428571,Gas pipe
14,37598.25476,11.460,11,6,810,37598,194,0.170952381,Gas pipe
15,11569.08557,3.526,6,13,865,11569,108,0.182380952,Gas pipe
16,29462.96906,8.980,13,14,339,29463,172,0.071428571,Gas pipe
