GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HC01_EST_VC13,HC01_EST_VC15
Id,Id2,Geography,Estimate; Total,Margin of Error; Total,Median income (dollars),Mean income (dollars)
1400000US47157000100,47157000100,"Census Tract 1, Shelby County, Tennessee",6502,569,70184,106502
1400000US47157000200,47157000200,"Census Tract 2, Shelby County, Tennessee",893,177,14451,23112
1400000US47157000300,47157000300,"Census Tract 3, Shelby County, Tennessee",934,149,22024,31391
1400000US47157000400,47157000400,"Census Tract 4, Shelby County, Tennessee",1782,291,19360,24972
1400000US47157000600,47157000600,"Census Tract 6, Shelby County, Tennessee",1958,315,16814,28726
1400000US47157000700,47157000700,"Census Tract 7, Shelby County, Tennessee",4530,748,26009,38673
1400000US47157000800,47157000800,"Census Tract 8, Shelby County, Tennessee",2400,302,14861,20658
1400000US47157000900,47157000900,"Census Tract 9, Shelby County, Tennessee",2600,400,15620,22580
1400000US47157001100,47157001100,"Census Tract 11, Shelby County, Tennessee",3099,437,26571,35300
1400000US47157001200,47157001200,"Census Tract 12, Shelby County, Tennessee",3908,579,45500,47301
1400000US47157001300,47157001300,"Census Tract 13, Shelby County, Tennessee",3416,508,16629,37489
1400000US47157001400,47157001400,"Census Tract 14, Shelby County, Tennessee",1511,278,17068,23796
1400000US47157001500,47157001500,"Census Tract 15, Shelby County, Tennessee",1519,213,22923,30218
1400000US47157001600,47157001600,"Census Tract 16, Shelby County, Tennessee",3236,311,76071,122298
1400000US47157001700,47157001700,"Census Tract 17, Shelby County, Tennessee",3778,278,49747,65162
1400000US47157001900,47157001900,"Census Tract 19, Shelby County, Tennessee",1322,221,25250,29429
1400000US47157002000,47157002000,"Census Tract 20, Shelby County, Tennessee",1840,248,22926,28811
1400000US47157002100,47157002100,"Census Tract 21, Shelby County, Tennessee",1355,198,17609,49767
1400000US47157002400,47157002400,"Census Tract 24, Shelby County, Tennessee",2445,280,19873,32953
1400000US47157002500,47157002500,"Census Tract 25, Shelby County, Tennessee",2785,318,31450,56108
1400000US47157002600,47157002600,"Census Tract 26, Shelby County, Tennessee",2733,230,62536,86810
1400000US47157002700,47157002700,"Census Tract 27, Shelby County, Tennessee",2045,468,40043,54499
1400000US47157002800,47157002800,"Census Tract 28, Shelby County, Tennessee",3213,411,22424,33939
1400000US47157002900,47157002900,"Census Tract 29, Shelby County, Tennessee",4830,401,67321,118699
1400000US47157003000,47157003000,"Census Tract 30, Shelby County, Tennessee",3493,398,26271,48152
1400000US47157003100,47157003100,"Census Tract 31, Shelby County, Tennessee",3511,361,50962,82300
1400000US47157003200,47157003200,"Census Tract 32, Shelby County, Tennessee",3696,320,33851,43047
1400000US47157003300,47157003300,"Census Tract 33, Shelby County, Tennessee",2585,294,75057,102616
1400000US47157003400,47157003400,"Census Tract 34, Shelby County, Tennessee",2397,311,39643,62099
1400000US47157003500,47157003500,"Census Tract 35, Shelby County, Tennessee",3305,314,60450,92722
1400000US47157003600,47157003600,"Census Tract 36, Shelby County, Tennessee",1767,330,21146,46524
1400000US47157003700,47157003700,"Census Tract 37, Shelby County, Tennessee",1208,119,13615,20984
1400000US47157003800,47157003800,"Census Tract 38, Shelby County, Tennessee",1128,130,15958,23126
1400000US47157003900,47157003900,"Census Tract 39, Shelby County, Tennessee",1315,154,10969,23739
1400000US47157004200,47157004200,"Census Tract 42, Shelby County, Tennessee",2682,179,59450,82311
1400000US47157004300,47157004300,"Census Tract 43, Shelby County, Tennessee",1576,170,82931,108078
1400000US47157004500,47157004500,"Census Tract 45, Shelby County, Tennessee",647,134,21574,25263
1400000US47157004600,47157004600,"Census Tract 46, Shelby County, Tennessee",1375,157,23561,31217
1400000US47157005000,47157005000,"Census Tract 50, Shelby County, Tennessee",1038,222,14826,20312
1400000US47157005300,47157005300,"Census Tract 53, Shelby County, Tennessee",2895,342,19781,27377
1400000US47157005500,47157005500,"Census Tract 55, Shelby County, Tennessee",2078,337,17790,29063
1400000US47157005600,47157005600,"Census Tract 56, Shelby County, Tennessee",3590,376,26068,34564
1400000US47157005700,47157005700,"Census Tract 57, Shelby County, Tennessee",2367,421,27031,33256
1400000US47157005800,47157005800,"Census Tract 58, Shelby County, Tennessee",944,177,11901,27880
1400000US47157005900,47157005900,"Census Tract 59, Shelby County, Tennessee",2473,467,18456,23553
1400000US47157006000,47157006000,"Census Tract 60, Shelby County, Tennessee",2130,463,26860,33939
1400000US47157006200,47157006200,"Census Tract 62, Shelby County, Tennessee",1939,252,28563,48249
1400000US47157006300,47157006300,"Census Tract 63, Shelby County, Tennessee",2563,300,44261,67468
1400000US47157006400,47157006400,"Census Tract 64, Shelby County, Tennessee",1888,303,33661,48044
1400000US47157006500,47157006500,"Census Tract 65, Shelby County, Tennessee",2588,443,21524,42164
1400000US47157006600,47157006600,"Census Tract 66, Shelby County, Tennessee",2260,220,38864,47872
1400000US47157006700,47157006700,"Census Tract 67, Shelby County, Tennessee",3289,747,19653,25772
1400000US47157006800,47157006800,"Census Tract 68, Shelby County, Tennessee",2194,339,17172,26119
