ID,X,Y,Node Type,Area (squate miles),Median income (dollars),Mean income (dollars),Density,percPop,Demand,population,Area-Population Score,q (complete DS),Mp,Mm
0,-90.14906409,35.07295828,Gate Station,77,25077,31918,361,0.029,42.4,27761,0.754901961,17549,1000000,0
1,-89.87813148,35.07533093,Gate Station,112.51,56436,75125,2174,0.258,373.6,244612,0.980392157,19804,1000000,0
2,-90.00766863,35.09904434,Gate Station,69.72,32035,46395,2545,0.187,271.1,177456,0.931372549,19314,1000000,0
3,-90.02310761,35.18146923,Gate Station,62.19,29265,43941,1519,0.1,144.3,94467,0.87254902,18725,1000000,0
4,-89.74330958,35.17561055,Gate Station,149.93,82545,99198,1149,0.182,263.1,172260,0.980392157,19804,1000000,0
5,-89.89954409,35.19208594,Gate Station,65.04,47392,60403,2474,0.17,245.7,160880,0.892156863,18922,1000000,0
6,-89.96061885,35.27294718,Gate Station,128.17,44377,55399,352,0.048,69,45151,0.892156863,18922,1000000,0
7,-89.80356584,35.38565526,Gate Station,68.42,64893,75998,161,0.012,16.8,11013,0.529411765,15294,1000000,0
8,-89.65213079,35.35265298,Gate Station,52.02,95819,112860,264,0.014,21,13724,0.519607843,15196,1000000,0
9,-89.93490245,35.01865615,Medium voltage,12.99,27942,36401,758,0.01,-15.1,9842,0.303921569,13039,0,10000000
10,-89.8761211,35.04206689,Medium voltage,16.89,39142,49049,3292,0.059,-85,55578,0.715686275,17157,0,10000000
11,-89.7412622,35.04532996,Medium voltage,25.66,100868,131807,934,0.025,-36.7,23971,0.588235294,15882,0,10000000
12,-89.91668434,35.05058038,Medium voltage,7.13,31096,39942,2651,0.02,-28.9,18902,0.294117647,12941,0,10000000
13,-89.79803104,35.04008307,Medium voltage,20.92,65371,80478,2503,0.055,-80.1,52348,0.725490196,17255,0,10000000
14,-89.95284021,35.07670017,Medium voltage,8.32,23063,32578,1940,0.017,-24.7,16130,0.284313725,12843,0,10000000
15,-90.00982705,35.0712847,Medium voltage,9.44,26412,37119,1661,0.017,-24,15675,0.31372549,13137,0,10000000
16,-90.05059892,35.08798718,Medium voltage,6.58,25949,33887,1824,0.013,-18.4,11994,0.176470588,11765,0,10000000
17,-90.13608062,35.08696814,Medium voltage,41.61,10167,12929,8,0,-0.5,326,0.411764706,14118,0,10000000
18,-90.06367138,35.11537826,Medium voltage,4.53,23625,32232,1457,0.007,-10.1,6602,0.107843137,11078,0,10000000
19,-89.96440153,35.13512863,Medium voltage,7.81,37832,59774,3640,0.03,-43.5,28435,0.431372549,14314,0,10000000
20,-89.77068835,35.14269557,Medium voltage,17.34,71925,88543,1655,0.03,-43.9,28693,0.598039216,15980,0,10000000
21,-89.94870857,35.17296807,Medium voltage,11.12,33039,45080,3101,0.036,-52.7,34469,0.588235294,15882,0,10000000
22,-89.9904572,35.17123319,Medium voltage,9.63,30168,42537,2605,0.026,-38.4,25085,0.460784314,14608,0,10000000
23,-89.83973084,35.18579136,Medium voltage,13.06,58881,69254,2664,0.037,-53.2,34786,0.62745098,16275,0,10000000
24,-89.90196651,35.22031369,Medium voltage,26,50275,59823,2015,0.055,-80.2,52379,0.794117647,17941,0,10000000
25,-89.70905035,35.20725316,Medium voltage,102.03,87712,104314,447,0.048,-69.8,45631,0.882352941,18824,0,10000000
