ID,Length (ft),Length (km),Start Node,End Node,Arc Type,u,f,c,centrality
0,34036.12911,10.374,4,26,Fiber Optic Cable,553,34036,184,0.061435842
1,16740.54583,5.103,23,1,Fiber Optic Cable,492,16741,129,0.05469538
2,38171.22844,11.635,1,6,Fiber Optic Cable,481,38171,195,0.053528173
3,26940.53114,8.211,6,9,Fiber Optic Cable,884,26941,164,0.098236527
4,29850.40221,9.098,9,17,Fiber Optic Cable,966,29850,173,0.107420413
5,19292.73615,5.88,17,16,Fiber Optic Cable,853,19293,139,0.094826953
6,21887.42464,6.671,15,16,Fiber Optic Cable,822,21887,148,0.091343002
7,28860.9416,8.797,10,15,Fiber Optic Cable,360,28861,170,0.04
8,34507.54826,10.518,14,15,Fiber Optic Cable,895,34508,186,0.099517193
9,19553.85463,5.96,14,13,Fiber Optic Cable,1000,19554,140,0.111175335
10,23388.54375,7.129,13,12,Fiber Optic Cable,664,23389,153,0.073800138
11,17101.21303,5.212,12,11,Fiber Optic Cable,693,17101,131,0.076997363
12,47425.3431,14.455,11,2,Fiber Optic Cable,737,47425,218,0.081923928
13,40423.58993,12.321,8,7,Fiber Optic Cable,360,40424,201,0.04
14,12122.89656,3.695,13,8,Fiber Optic Cable,845,12123,110,0.093893789
15,17775.25872,5.418,9,20,Fiber Optic Cable,819,17775,133,0.091092911
16,16256.88753,4.955,5,4,Fiber Optic Cable,720,16257,128,0.080001464
17,18019.3292,5.492,4,3,Fiber Optic Cable,626,18019,134,0.069556924
18,42977.72609,13.1,4,8,Fiber Optic Cable,865,42978,207,0.096194599
19,40167.59578,12.243,21,25,Fiber Optic Cable,714,40168,200,0.079340109
20,82614.08382,25.181,3,21,Fiber Optic Cable,590,82614,287,0.065549365
21,69955.13379,21.322,2,21,Fiber Optic Cable,707,69955,264,0.078653789
22,55584.42859,16.942,0,21,Fiber Optic Cable,360,55584,236,0.04
23,23821.9645,7.261,22,26,Fiber Optic Cable,437,23822,154,0.048594309
24,57276.73127,17.458,22,25,Fiber Optic Cable,431,57277,239,0.047947603
25,14256.52258,4.345,24,5,Fiber Optic Cable,674,14257,119,0.074947529
26,8501.094548,2.591,6,24,Fiber Optic Cable,601,8501,92,0.066800826
27,53588.23789,16.334,24,23,Fiber Optic Cable,453,53588,231,0.050397848
28,20108.38263,6.129,26,19,Fiber Optic Cable,516,20108,142,0.057345546
29,15189.55113,4.63,23,19,Fiber Optic Cable,825,15190,123,0.091669852
30,31705.69686,9.664,25,19,Fiber Optic Cable,660,31706,178,0.073389553
31,31202.47316,9.511,18,19,Microwave,630,31202,177,0.070044237
32,94438.37338,28.785,19,20,Microwave,714,94438,307,0.079374266
33,39706.15245,12.102,20,8,Microwave,713,39706,199,0.079302943
34,42394.58075,12.922,8,11,Microwave,590,42395,206,0.065614656
35,125266.3856,38.181,18,11,Microwave,609,125266,354,0.067665038
