ID,Length (ft),Length (km),Start Node,End Node,u,f,c,Arc Type
0,30773.49646,9.380,0,16,40.5,30773,30773,Water pipe
1,36434.41026,11.105,15,0,36.849,36434,36434,Water pipe
2,22537.89131,6.870,3,0,1,22538,22538,Water pipe
3,37132.87927,11.318,2,1,21.303,37133,37133,Water pipe
4,29868.60079,9.104,1,15,1.362,29869,29869,Water pipe
5,32597.76914,9.936,20,2,6.081,32598,32598,Water pipe
6,35696.39868,10.880,19,20,1,35696,35696,Water pipe
7,11289.59826,3.441,15,17,1,11290,11290,Water pipe
8,18728.49254,5.708,18,17,1,18728,18728,Water pipe
9,21742.88128,6.627,17,3,14.752,21743,21743,Water pipe
10,63398.61278,19.324,25,3,3.15,63399,63399,Water pipe
11,14822.24317,4.518,19,18,23.768,14822,14822,Water pipe
12,16958.40194,5.169,22,18,1,16958,16958,Water pipe
13,21000.03497,6.401,1,19,80.362,21000,21000,Water pipe
14,17755.74172,5.412,3,24,126.351,17756,17756,Water pipe
15,13023.87173,3.970,19,4,15.531,13024,13024,Water pipe
16,14800.7354,4.511,4,22,43.333,14801,14801,Water pipe
17,18215.27062,5.552,5,22,3.67,18215,18215,Water pipe
18,22376.90131,6.820,17,5,35.211,22377,22377,Water pipe
19,22585.64307,6.884,24,5,1,22586,22586,Water pipe
20,27935.34686,8.515,26,5,1,27935,27935,Water pipe
21,15538.54506,4.736,27,25,1,15539,15539,Water pipe
22,15000.04216,4.572,29,25,22.954,15000,15000,Water pipe
23,28032.92512,8.544,9,27,17.638,28033,28033,Water pipe
24,10952.84108,3.338,4,26,1,10953,10953,Water pipe
25,9220.497942,2.810,7,26,36.943,9220,9220,Water pipe
26,14045.65217,4.281,5,30,94.864,14046,14046,Water pipe
27,31004.48525,9.450,8,30,1,31004,31004,Water pipe
28,38070.7918,11.604,10,30,1,38071,38071,Water pipe
29,23739.48034,7.236,30,7,1,23739,23739,Water pipe
30,31111.81919,9.483,33,7,1,31112,31112,Water pipe
31,20227.93911,6.165,21,28,6.909,20228,20228,Water pipe
32,13922.56886,4.244,4,21,11.726,13923,13923,Water pipe
33,4989.942756,1.521,7,28,69.662,4990,4990,Water pipe
34,30213.48113,9.209,32,28,12.114,30213,30213,Water pipe
35,25670.04056,7.824,23,6,24.36,25670,25670,Water pipe
36,30235.15008,9.216,25,23,1,30235,30235,Water pipe
37,34185.40745,10.420,29,6,1,34185,34185,Water pipe
38,15236.63976,4.644,31,6,21.403,15237,15237,Water pipe
39,40263.23634,12.272,24,8,1,40263,40263,Water pipe
40,29390.69,8.958,27,8,46.032,29391,29391,Water pipe
41,28420.55881,8.663,9,8,1,28421,28421,Water pipe
42,17439.54808,5.316,34,8,80.295,17440,17440,Water pipe
43,37228.21612,11.347,10,34,15.589,37228,37228,Water pipe
44,34126.69719,10.402,9,31,12.342,34127,34127,Water pipe
45,40120.86825,12.229,35,31,20.564,40121,40121,Water pipe
46,17253.17993,5.259,29,9,58.405,17253,17253,Water pipe
47,7586.385454,2.312,10,33,38.957,7586,7586,Water pipe
48,16175.90468,4.930,33,32,1,16176,16176,Water pipe
49,9661.968896,2.945,36,32,9.44,9662,9662,Water pipe
50,14453.37737,4.405,38,10,23.547,14453,14453,Water pipe
51,33141.65967,10.102,38,36,1,33142,33142,Water pipe
52,36574.06857,11.148,12,36,15.178,36574,36574,Water pipe
53,32578.70723,9.930,44,12,6.326,32579,32579,Water pipe
54,46050.65327,14.036,39,38,7.551,46051,46051,Water pipe
55,19410.3882,5.916,40,11,12.536,19410,19410,Water pipe
56,20839.84998,6.352,48,11,1.576,20840,20840,Water pipe
57,21806.65617,6.647,13,48,1,21807,21807,Water pipe
58,7141.73569,2.177,37,40,1,7142,7142,Water pipe
59,21855.62566,6.662,11,37,1,21856,21856,Water pipe
60,16592.29014,5.057,13,40,10.982,16592,16592,Water pipe
61,6364.609166,1.940,43,45,7.941,6365,6365,Water pipe
62,4927.657679,1.502,44,42,3.591,4928,4928,Water pipe
63,13732.24981,4.186,42,43,1,13732,13732,Water pipe
64,29826.23143,9.091,14,45,21.462,29826,29826,Water pipe
65,10983.10068,3.348,45,44,11.094,10983,10983,Water pipe
66,6348.229899,1.935,46,44,1,6348,6348,Water pipe
67,12816.7394,3.907,47,46,1,12817,12817,Water pipe
68,8359.61402,2.548,45,47,1,8360,8360,Water pipe
69,11642.53856,3.549,41,14,3.098,11643,11643,Water pipe
70,26094.63565,7.954,13,14,12.601,26095,26095,Water pipe
