ID,X,Y,Node Type,Area (squate miles),Median income (dollars),Mean income (dollars),Density,percPop,Demand,population,Area-Population Score,q (complete DS),Mp,Mm
0,-89.81072359,35.00485525,Storage Tank,52.00,80192,97677,1416,0.078,77.349,73640,0.816326531,18163,1000000,0
1,-90.01350689,35.00723595,Pumping Station,30.84,35395,44686,1865,0.061,60.421,57524,0.653061224,16531,1000000,0
2,-90.1180831,35.02483649,Pumping Station,69.01,25607,32372,378,0.027,27.384,26071,0.734693878,17347,1000000,0
3,-89.85424473,35.05372432,Pumping Station,53.45,57718,76783,2570,0.145,144.253,137337,0.928571429,19286,1000000,0
4,-90.02756048,35.10091371,Pumping Station,37.60,27261,38334,1787,0.071,70.590,67205,0.724489796,17245,1000000,0
5,-89.93030941,35.114479,Pumping Station,38.51,40695,60281,3306,0.134,133.745,127332,0.836734694,18367,1000000,0
6,-89.64163653,35.16926573,Storage Tank,52.25,102491,128574,834,0.046,45.763,43569,0.744897959,17449,1000000,0
7,-90.01471543,35.15647357,Pumping Station,47.16,31297,46661,2152,0.107,106.605,101494,0.846938776,18469,1000000,0
8,-89.8527066,35.18172986,Pumping Station,50.94,58400,73134,2361,0.127,126.327,120270,0.867346939,18673,1000000,0
9,-89.75838583,35.2006367,Storage Tank,69.47,82991,99831,1211,0.089,88.385,84147,0.908163265,19082,1000000,0
10,-89.94980067,35.246328,Pumping Station,73.47,42428,52964,1012,0.078,78.093,74349,0.908163265,19082,1000000,0
11,-89.67644063,35.32495857,Pumping Station,46.21,88576,104805,302,0.015,14.655,13952,0.56122449,15612,1000000,0
12,-90.03358832,35.34209544,Storage Tank,86.31,50898,68773,98,0.009,8.852,8428,0.653061224,16531,1000000,0
13,-89.71770387,35.37741124,Storage Tank,22.58,72689,94410,68,0.002,1.619,1541,0.265306122,12653,1000000,0
14,-89.80639628,35.38015299,Storage Tank,55.21,54522,62863,206,0.012,11.959,11386,0.602040816,16020,1000000,0
15,-89.92918924,35.0209335,Distribution Node,26.01,42319,51155,1399,0.038,-38.211,36398,0.551020408,15510,0,10000000
16,-89.70606321,35.00136005,Distribution Node,36.56,89417,112223,1055,0.041,-40.500,38579,0.642857143,16429,0,10000000
17,-89.92818104,35.05285945,Distribution Node,16.04,32160,43038,2967,0.050,-49.963,47593,0.459183673,14592,0,10000000
18,-89.98241271,35.0639128,Distribution Node,13.92,31606,41321,1626,0.024,-23.768,22641,0.326530612,13265,0,10000000
19,-90.0328948,35.06443844,Distribution Node,33.65,30488,38991,2041,0.072,-72.125,68704,0.704081633,17041,0,10000000
20,-90.14727652,35.08710837,Distribution Node,61.16,21445,27135,95,0.006,-6.081,5793,0.581632653,15816,0,10000000
21,-90.06847085,35.11676474,Distribution Node,12.39,24414,34557,1433,0.019,-18.635,17751,0.285714286,12857,0,10000000
22,-89.98516993,35.1094937,Distribution Node,11.78,35620,53776,3802,0.047,-47.003,44773,0.408163265,14082,0,10000000
23,-89.64006118,35.09718747,Distribution Node,18.15,97706,123623,1279,0.024,-24.360,23204,0.37755102,13776,0,10000000
24,-89.85851007,35.09762303,Distribution Node,41.81,56597,75580,2879,0.127,-126.351,120357,0.836734694,18367,0,10000000
25,-89.72815625,35.11757418,Distribution Node,23.85,107085,143053,1043,0.026,-26.104,24866,0.469387755,14694,0,10000000
26,-90.02180771,35.13117275,Distribution Node,8.07,33172,48936,4361,0.037,-36.943,35191,0.346938776,13469,0,10000000
27,-89.77845963,35.12779297,Distribution Node,25.18,78113,98089,2408,0.064,-63.670,60650,0.612244898,16122,0,10000000
28,-90.0308232,35.15991635,Distribution Node,25.09,29168,45083,1923,0.051,-50.639,48237,0.581632653,15816,0,10000000
29,-89.73747298,35.15500143,Distribution Node,25.48,75503,92151,1325,0.036,-35.451,33769,0.520408163,15204,0,10000000
30,-89.94613247,35.14673329,Distribution Node,29.77,39877,58798,3035,0.095,-94.864,90364,0.714285714,17143,0,10000000
31,-89.64455051,35.20059691,Distribution Node,22.70,88977,117368,553,0.013,-13.181,12556,0.367346939,13673,0,10000000
32,-90.00878124,35.24010276,Distribution Node,18.12,29311,42412,1133,0.022,-21.554,20532,0.336734694,13367,0,10000000
33,-89.97022534,35.23640693,Distribution Node,18.93,33365,43052,1961,0.039,-38.957,37109,0.459183673,14592,0,10000000
34,-89.83747524,35.22671732,Distribution Node,42.27,56778,67078,2161,0.096,-95.884,91336,0.816326531,18163,0,10000000
35,-89.72321767,35.27321239,Distribution Node,36.54,95229,109532,562,0.022,-21.563,20540,0.540816327,15408,0,10000000
36,-90.00917224,35.26743752,Distribution Node,57.86,40054,57818,94,0.006,-5.738,5466,0.56122449,15612,0,10000000
37,-89.74869898,35.31577403,Distribution Node,7.55,72689,94410,68,0.001,-0.543,517,0.06122449,10612,0,10000000
38,-89.92224945,35.27339114,Distribution Node,27.78,41759,51399,549,0.016,-15.996,15237,0.459183673,14592,0,10000000
39,-89.7891992,35.29686482,Distribution Node,19.97,87419,101113,360,0.008,-7.551,7193,0.295918367,12959,0,10000000
40,-89.74092873,35.33492696,Distribution Node,21.76,72689,94410,68,0.002,-1.554,1480,0.234693878,12347,0,10000000
41,-89.80587325,35.34760639,Distribution Node,23.44,58954,65974,126,0.003,-3.098,2951,0.295918367,12959,0,10000000
42,-89.94223051,35.36399391,Distribution Node,30.90,50898,68773,111,0.004,-3.591,3421,0.397959184,13980,0,10000000
43,-89.89774729,35.35213419,Distribution Node,15.08,53162,62211,502,0.008,-7.941,7564,0.244897959,12449,0,10000000
44,-89.9343417,35.37630835,Distribution Node,2.64,56533,68420,215,0.001,-0.596,568,0.040816327,10408,0,10000000
45,-89.89758625,35.37014056,Distribution Node,5.07,51219,58829,285,0.002,-1.517,1445,0.091836735,10918,0,10000000
46,-89.93619652,35.39410639,Distribution Node,3.88,56533,68420,143,0.001,-0.581,553,0.051020408,10510,0,10000000
47,-89.89335641,35.39353137,Distribution Node,3.44,51863,57902,252,0.001,-0.910,867,0.06122449,10612,0,10000000
48,-89.6504359,35.37893741,Distribution Node,18.20,88793,108549,82,0.002,-1.576,1501,0.214285714,12143,0,10000000
