Arc ID,Start Node,End Node,Network,Subspace,Arc Type
0,4,26,Telecommunication,292,Fiber Optic Cable
0,4,26,Telecommunication,293,Fiber Optic Cable
0,4,26,Telecommunication,294,Fiber Optic Cable
0,4,26,Telecommunication,295,Fiber Optic Cable
0,4,26,Telecommunication,296,Fiber Optic Cable
0,4,26,Telecommunication,297,Fiber Optic Cable
1,23,1,Telecommunication,228,Fiber Optic Cable
1,23,1,Telecommunication,229,Fiber Optic Cable
1,23,1,Telecommunication,252,Fiber Optic Cable
1,23,1,Telecommunication,253,Fiber Optic Cable
2,1,6,Telecommunication,153,Fiber Optic Cable
2,1,6,Telecommunication,154,Fiber Optic Cable
2,1,6,Telecommunication,177,Fiber Optic Cable
2,1,6,Telecommunication,178,Fiber Optic Cable
2,1,6,Telecommunication,179,Fiber Optic Cable
2,1,6,Telecommunication,202,Fiber Optic Cable
2,1,6,Telecommunication,203,Fiber Optic Cable
2,1,6,Telecommunication,204,Fiber Optic Cable
2,1,6,Telecommunication,228,Fiber Optic Cable
3,6,9,Telecommunication,81,Fiber Optic Cable
3,6,9,Telecommunication,104,Fiber Optic Cable
3,6,9,Telecommunication,105,Fiber Optic Cable
3,6,9,Telecommunication,106,Fiber Optic Cable
3,6,9,Telecommunication,129,Fiber Optic Cable
3,6,9,Telecommunication,130,Fiber Optic Cable
3,6,9,Telecommunication,131,Fiber Optic Cable
3,6,9,Telecommunication,153,Fiber Optic Cable
4,9,17,Telecommunication,12,Fiber Optic Cable
4,9,17,Telecommunication,13,Fiber Optic Cable
4,9,17,Telecommunication,25,Fiber Optic Cable
4,9,17,Telecommunication,38,Fiber Optic Cable
4,9,17,Telecommunication,39,Fiber Optic Cable
4,9,17,Telecommunication,58,Fiber Optic Cable
4,9,17,Telecommunication,80,Fiber Optic Cable
4,9,17,Telecommunication,81,Fiber Optic Cable
5,17,16,Telecommunication,12,Fiber Optic Cable
5,17,16,Telecommunication,24,Fiber Optic Cable
5,17,16,Telecommunication,36,Fiber Optic Cable
5,17,16,Telecommunication,37,Fiber Optic Cable
5,17,16,Telecommunication,55,Fiber Optic Cable
6,15,16,Telecommunication,54,Fiber Optic Cable
6,15,16,Telecommunication,55,Fiber Optic Cable
6,15,16,Telecommunication,75,Fiber Optic Cable
6,15,16,Telecommunication,76,Fiber Optic Cable
6,15,16,Telecommunication,97,Fiber Optic Cable
6,15,16,Telecommunication,98,Fiber Optic Cable
7,10,15,Telecommunication,97,Fiber Optic Cable
7,10,15,Telecommunication,120,Fiber Optic Cable
7,10,15,Telecommunication,121,Fiber Optic Cable
7,10,15,Telecommunication,122,Fiber Optic Cable
7,10,15,Telecommunication,123,Fiber Optic Cable
7,10,15,Telecommunication,145,Fiber Optic Cable
7,10,15,Telecommunication,146,Fiber Optic Cable
7,10,15,Telecommunication,169,Fiber Optic Cable
8,14,15,Telecommunication,97,Fiber Optic Cable
8,14,15,Telecommunication,120,Fiber Optic Cable
8,14,15,Telecommunication,165,Fiber Optic Cable
8,14,15,Telecommunication,166,Fiber Optic Cable
8,14,15,Telecommunication,188,Fiber Optic Cable
8,14,15,Telecommunication,189,Fiber Optic Cable
8,14,15,Telecommunication,213,Fiber Optic Cable
8,14,15,Telecommunication,236,Fiber Optic Cable
9,14,13,Telecommunication,236,Fiber Optic Cable
9,14,13,Telecommunication,237,Fiber Optic Cable
9,14,13,Telecommunication,260,Fiber Optic Cable
9,14,13,Telecommunication,283,Fiber Optic Cable
9,14,13,Telecommunication,284,Fiber Optic Cable
9,14,13,Telecommunication,310,Fiber Optic Cable
10,13,12,Telecommunication,310,Fiber Optic Cable
10,13,12,Telecommunication,333,Fiber Optic Cable
10,13,12,Telecommunication,356,Fiber Optic Cable
10,13,12,Telecommunication,378,Fiber Optic Cable
11,12,11,Telecommunication,378,Fiber Optic Cable
11,12,11,Telecommunication,402,Fiber Optic Cable
11,12,11,Telecommunication,426,Fiber Optic Cable
11,12,11,Telecommunication,449,Fiber Optic Cable
12,11,2,Telecommunication,449,Fiber Optic Cable
12,11,2,Telecommunication,450,Fiber Optic Cable
12,11,2,Telecommunication,451,Fiber Optic Cable
12,11,2,Telecommunication,452,Fiber Optic Cable
12,11,2,Telecommunication,453,Fiber Optic Cable
12,11,2,Telecommunication,454,Fiber Optic Cable
12,11,2,Telecommunication,455,Fiber Optic Cable
12,11,2,Telecommunication,456,Fiber Optic Cable
12,11,2,Telecommunication,457,Fiber Optic Cable
13,8,7,Telecommunication,312,Fiber Optic Cable
13,8,7,Telecommunication,335,Fiber Optic Cable
13,8,7,Telecommunication,336,Fiber Optic Cable
13,8,7,Telecommunication,359,Fiber Optic Cable
13,8,7,Telecommunication,360,Fiber Optic Cable
13,8,7,Telecommunication,382,Fiber Optic Cable
13,8,7,Telecommunication,383,Fiber Optic Cable
13,8,7,Telecommunication,407,Fiber Optic Cable
13,8,7,Telecommunication,408,Fiber Optic Cable
14,13,8,Telecommunication,310,Fiber Optic Cable
14,13,8,Telecommunication,311,Fiber Optic Cable
14,13,8,Telecommunication,312,Fiber Optic Cable
15,9,20,Telecommunication,81,Fiber Optic Cable
15,9,20,Telecommunication,104,Fiber Optic Cable
15,9,20,Telecommunication,126,Fiber Optic Cable
15,9,20,Telecommunication,127,Fiber Optic Cable
15,9,20,Telecommunication,148,Fiber Optic Cable
15,9,20,Telecommunication,171,Fiber Optic Cable
16,5,4,Telecommunication,223,Fiber Optic Cable
16,5,4,Telecommunication,246,Fiber Optic Cable
16,5,4,Telecommunication,269,Fiber Optic Cable
16,5,4,Telecommunication,270,Fiber Optic Cable
16,5,4,Telecommunication,292,Fiber Optic Cable
17,4,3,Telecommunication,291,Fiber Optic Cable
17,4,3,Telecommunication,292,Fiber Optic Cable
17,4,3,Telecommunication,318,Fiber Optic Cable
17,4,3,Telecommunication,341,Fiber Optic Cable
18,4,8,Telecommunication,286,Fiber Optic Cable
18,4,8,Telecommunication,287,Fiber Optic Cable
18,4,8,Telecommunication,288,Fiber Optic Cable
18,4,8,Telecommunication,289,Fiber Optic Cable
18,4,8,Telecommunication,290,Fiber Optic Cable
18,4,8,Telecommunication,291,Fiber Optic Cable
18,4,8,Telecommunication,292,Fiber Optic Cable
18,4,8,Telecommunication,312,Fiber Optic Cable
19,21,25,Telecommunication,419,Fiber Optic Cable
19,21,25,Telecommunication,443,Fiber Optic Cable
19,21,25,Telecommunication,466,Fiber Optic Cable
19,21,25,Telecommunication,490,Fiber Optic Cable
19,21,25,Telecommunication,513,Fiber Optic Cable
19,21,25,Telecommunication,536,Fiber Optic Cable
19,21,25,Telecommunication,559,Fiber Optic Cable
19,21,25,Telecommunication,560,Fiber Optic Cable
19,21,25,Telecommunication,581,Fiber Optic Cable
20,3,21,Telecommunication,341,Fiber Optic Cable
20,3,21,Telecommunication,342,Fiber Optic Cable
20,3,21,Telecommunication,365,Fiber Optic Cable
20,3,21,Telecommunication,366,Fiber Optic Cable
20,3,21,Telecommunication,388,Fiber Optic Cable
20,3,21,Telecommunication,412,Fiber Optic Cable
20,3,21,Telecommunication,413,Fiber Optic Cable
20,3,21,Telecommunication,414,Fiber Optic Cable
20,3,21,Telecommunication,438,Fiber Optic Cable
