Subspace_ID,Area (square km),g
0,9.690782214,9691
1,10.87470349,10875
2,4.086407286,4086
3,4.066218345,4066
4,3.748160538,3748
5,2.556972723,2557
6,2.180201991,2180
7,1.294237482,1294
8,0.059621129,60
9,3.682480102,3682
10,4.392101391,4392
11,4.767103473,4767
12,5.892964147,5893
13,6.019237468,6019
14,6.017725164,6018
15,6.044050084,6044
16,1.68973047,1690
17,5.201093827,5201
18,4.507801301,4508
19,0.600940247,601
20,3.307892615,3308
21,2.640026418,2640
22,2.262137075,2262
23,3.518933096,3519
24,3.518168422,3518
25,3.014232922,3014
26,3.013555308,3014
27,2.259722014,2260
28,1.196033085,1196
29,1.42807654,1428
30,3.007132785,3007
31,3.508277988,3508
32,0.662563571,663
33,3.445359053,3445
34,3.00744916,3007
35,3.007070492,3007
36,4.008638084,4009
37,4.007736536,4008
38,4.006835385,4007
39,4.005934629,4006
40,2.229984758,2230
41,0.020931882,21
42,0.432854081,433
43,2.658845459,2659
44,1.368063016,1368
45,1.783582455,1784
46,3.997397136,3997
47,3.99650052,3997
48,2.508029578,2508
49,1.416002696,1416
50,1.300351448,1300
51,0.016291575,16
52,3.461016746,3461
53,3.007416583,3007
54,3.007070492,3007
55,4.008638084,4009
56,4.007736536,4008
57,4.006835385,4007
58,4.005934629,4006
59,2.342628815,2343
60,0.121376312,121
61,3.518987058,3519
62,4.001886119,4002
63,3.364976383,3365
64,0.226555129,227
65,1.705785264,1706
66,3.839921978,3840
67,3.997397136,3997
68,3.99650052,3997
69,3.995604296,3996
70,3.994708464,3995
71,3.993813024,3994
72,2.67149697,2671
73,0.371743387,372
74,2.613976081,2614
75,2.262390477,2262
76,2.262137075,2262
77,3.015589043,3016
78,3.014910834,3015
79,3.014232922,3014
80,3.013555308,3014
81,2.259722014,2260
82,1.768082783,1768
83,1.158270105,1158
84,3.011186011,3011
85,3.010509724,3011
86,3.009833744,3010
87,2.786594836,2787
88,3.008482673,3008
89,3.007807581,3008
90,3.007132785,3007
91,3.006458285,3006
92,3.00578408,3006
93,3.005110171,3005
94,3.004436556,3004
95,3.003763236,3004
96,2.427730849,2428
97,2.622994251,2623
98,2.262423117,2262
99,2.262137198,2262
100,3.015589207,3016
101,3.014910998,3015
102,3.014233086,3014
103,3.013555472,3014
104,2.259722136,2260
105,2.259341121,2259
106,3.011862738,3012
107,3.011186165,3011
108,3.010509888,3011
109,3.009833908,3010
110,3.009158224,3009
111,3.008482836,3008
112,3.007807745,3008
113,3.007132949,3007
114,3.006458449,3006
115,3.005784244,3006
116,3.005110334,3005
117,3.004436719,3004
118,3.003763399,3004
119,3.340259757,3340
120,3.500503422,3501
121,2.631477174,2631
122,2.255302877,2255
123,3.006478574,3006
124,3.005802413,3006
125,3.00512655,3005
126,3.004450983,3004
127,2.252895112,2253
128,2.252515248,2253
129,3.002763363,3003
130,3.002088834,3002
131,3.0014146,3001
132,3.000740662,3001
133,3.00006702,3000
134,2.999393673,2999
135,2.99872062,2999
136,2.998047863,2998
137,2.997375401,2997
138,2.996703233,2997
139,2.996031359,2996
140,2.995359779,2995
141,2.994688494,2995
142,4.396065853,4396
143,2.633222061,2633
144,2.255302877,2255
145,3.006478574,3006
146,3.005802413,3006
147,3.00512655,3005
148,3.004450983,3004
149,2.252895112,2253
150,2.252515248,2253
151,3.002763363,3003
152,3.002088834,3002
153,3.0014146,3001
154,3.000740662,3001
155,3.00006702,3000
156,2.999393673,2999
157,2.99872062,2999
158,2.998047863,2998
159,2.997375401,2997
160,2.996703233,2997
161,2.996031359,2996
162,2.995359779,2995
163,2.994688494,2995
164,4.259872996,4260
165,3.520353729,3520
166,3.017658646,3018
167,3.017321849,3017
168,4.02230387,4022
169,4.021399249,4021
170,4.020495025,4020
171,4.019591199,4020
172,3.014100552,3014
173,3.013592339,3014
174,4.017333368,4017
175,4.01643093,4016
176,4.015528887,4016
177,4.014627239,4015
178,4.013725988,4014
179,4.012825131,4013
180,4.011924669,4012
181,4.011024601,4011
182,4.010124928,4010
183,4.009225648,4009
184,4.008326763,4008
185,4.007428271,4007
186,4.006530172,4007
187,5.372108259,5372
188,3.544044103,3544
189,2.633236154,2633
190,3.010487529,3010
191,4.013193237,4013
192,4.012290665,4012
193,4.011388489,4011
194,4.01048671,4010
195,3.007273528,3007
196,3.006766467,3007
197,4.008233993,4008
198,4.007333599,4007
199,4.006433599,4006
200,4.005533994,4006
201,4.004634783,4005
202,4.003735967,4004
203,4.002837545,4003
204,4.001939516,4002
205,4.00104188,4001
206,4.000144638,4000
207,3.999247788,3999
208,3.998351331,3998
209,3.997455266,3997
210,5.091213152,5091
211,2.659457101,2659
212,2.668221471,2668
213,2.631501824,2632
214,3.007070492,3007
215,4.008638084,4009
216,4.007736536,4008
217,4.006835385,4007
218,4.005934629,4006
219,3.003860139,3004
220,3.003353653,3003
221,4.00368447,4004
222,4.002785097,4003
223,4.001886119,4002
224,4.000987535,4001
225,4.000089345,4000
226,3.999191549,3999
227,3.998294146,3998
228,3.997397136,3997
229,3.99650052,3997
230,3.995604296,3996
231,3.994708464,3995
232,3.993813024,3994
233,3.992917977,3993
234,5.061315817,5061
235,3.575545796,3576
236,3.010846934,3011
237,3.010487652,3010
238,4.0131934,4013
239,4.012290828,4012
240,4.011388653,4011
241,4.010486874,4010
242,3.007273651,3007
243,3.006766589,3007
244,4.008234157,4008
245,4.007333762,4007
246,4.006433763,4006
247,4.005534157,4006
248,4.004634947,4005
249,4.00373613,4004
250,4.002837708,4003
251,4.001939679,4002
252,4.001042043,4001
253,4.000144801,4000
254,3.999247951,3999
255,3.998351494,3998
256,3.997455429,3997
257,5.098614434,5099
258,3.599425876,3599
259,3.017674935,3018
