ID,Length (ft),Length (km),Arc Type,Start Node,End Node,u_t0,f_t0,c_t0,u_t1,f_t1,c_t1,u_t2,f_t2,c_t2,u_t3,f_t3,c_t3,u_t4,f_t4,c_t4,u_t5,f_t5,c_t5,u_t6,f_t6,c_t6,u_t7,f_t7,c_t7,u_t8,f_t8,c_t8,u_t9,f_t9,c_t9,u_t10,f_t10,c_t10
0,41143.8537,12.541,Gas pipe,9,0,85.8,41144,41144,85.8,41144,41144,85.8,41144,41144,85.8,41144,41144,85.8,41144,41144,85.8,41144,41144,85.8,41144,41144,85.8,41144,41144,85.8,41144,41144,85.8,41144,41144,85.8,41144,41144
1,29252.15365,8.916,Gas pipe,0,3,208.3,29252,29252,208.3,29252,29252,208.3,29252,29252,208.3,29252,29252,208.3,29252,29252,208.3,29252,29252,208.3,29252,29252,208.3,29252,29252,208.3,29252,29252,208.3,29252,29252,208.3,29252,29252
2,126805.7964,38.65,Gas pipe,0,5,28.2,126806,126806,28.2,126806,126806,28.2,126806,126806,28.2,126806,126806,28.2,126806,126806,28.2,126806,126806,28.2,126806,126806,28.2,126806,126806,28.2,126806,126806,28.2,126806,126806,28.2,126806,126806
3,9210.73888,2.807,Gas pipe,5,1,437.3,9211,9211,437.3,9211,9211,437.3,9211,9211,437.3,9211,9211,437.3,9211,9211,437.3,9211,9211,437.3,9211,9211,437.3,9211,9211,437.3,9211,9211,437.3,9211,9211,437.3,9211,9211
4,16378.00197,4.992,Gas pipe,1,13,265.4,16378,16378,265.4,16378,16378,265.4,16378,16378,265.4,16378,16378,265.4,16378,16378,265.4,16378,16378,265.4,16378,16378,265.4,16378,16378,265.4,16378,16378,265.4,16378,16378,265.4,16378,16378
5,19602.81683,5.975,Gas pipe,13,7,222.2,19603,19603,222.2,19603,19603,222.2,19603,19603,222.2,19603,19603,222.2,19603,19603,222.2,19603,19603,222.2,19603,19603,222.2,19603,19603,222.2,19603,19603,222.2,19603,19603,222.2,19603,19603
6,13681.20983,4.17,Gas pipe,7,8,201.1,13681,13681,201.1,13681,13681,201.1,13681,13681,201.1,13681,13681,201.1,13681,13681,201.1,13681,13681,201.1,13681,13681,201.1,13681,13681,201.1,13681,13681,201.1,13681,13681,201.1,13681,13681
7,17480.81947,5.328,Gas pipe,8,15,129.2,17481,17481,129.2,17481,17481,129.2,17481,17481,129.2,17481,17481,129.2,17481,17481,129.2,17481,17481,129.2,17481,17481,129.2,17481,17481,129.2,17481,17481,129.2,17481,17481,129.2,17481,17481
8,73223.95973,22.319,Gas pipe,5,4,143.4,73224,73224,143.4,73224,73224,143.4,73224,73224,143.4,73224,73224,143.4,73224,73224,143.4,73224,73224,143.4,73224,73224,143.4,73224,73224,143.4,73224,73224,143.4,73224,73224,143.4,73224,73224
9,71311.88198,21.736,Gas pipe,4,10,1,71312,71312,1,71312,71312,1,71312,71312,1,71312,71312,1,71312,71312,1,71312,71312,1,71312,71312,1,71312,71312,1,71312,71312,1,71312,71312,1,71312,71312
10,59517.45194,18.141,Gas pipe,10,5,1,59517,59517,1,59517,59517,1,59517,59517,1,59517,59517,1,59517,59517,1,59517,59517,1,59517,59517,1,59517,59517,1,59517,59517,1,59517,59517,1,59517,59517
11,23171.04666,7.063,Gas pipe,10,2,10.8,23171,23171,10.8,23171,23171,10.8,23171,23171,10.8,23171,23171,10.8,23171,23171,10.8,23171,23171,10.8,23171,23171,10.8,23171,23171,10.8,23171,23171,10.8,23171,23171,10.8,23171,23171
12,8787.254844,2.678,Gas pipe,2,11,20.6,8787,8787,20.6,8787,8787,20.6,8787,8787,20.6,8787,8787,20.6,8787,8787,20.6,8787,8787,20.6,8787,8787,20.6,8787,8787,20.6,8787,8787,20.6,8787,8787,20.6,8787,8787
13,8701.478595,2.652,Gas pipe,11,12,12.3,8701,8701,12.3,8701,8701,12.3,8701,8701,12.3,8701,8701,12.3,8701,8701,12.3,8701,8701,12.3,8701,8701,12.3,8701,8701,12.3,8701,8701,12.3,8701,8701,12.3,8701,8701
14,38679.2124,11.789,Gas pipe,11,6,4.5,38679,38679,4.5,38679,38679,4.5,38679,38679,4.5,38679,38679,4.5,38679,38679,4.5,38679,38679,4.5,38679,38679,4.5,38679,38679,4.5,38679,38679,4.5,38679,38679,4.5,38679,38679
15,10304.16886,3.141,Gas pipe,6,13,10.6,10304,10304,10.6,10304,10304,10.6,10304,10304,10.6,10304,10304,10.6,10304,10304,10.6,10304,10304,10.6,10304,10304,10.6,10304,10304,10.6,10304,10304,10.6,10304,10304,10.6,10304,10304
16,29128.05758,8.878,Gas pipe,13,14,7.4,29128,29128,7.4,29128,29128,7.4,29128,29128,7.4,29128,29128,7.4,29128,29128,7.4,29128,29128,7.4,29128,29128,7.4,29128,29128,7.4,29128,29128,7.4,29128,29128,7.4,29128,29128
