ID,Node Type,X,Y,Area (squate miles),Median income (dollars),Mean income (dollars),Density,percPop,population,Area-Population Score,Demand_t0,q_t0,Mp_t0,Mm_t0,Demand_t1,q_t1,Mp_t1,Mm_t1,Demand_t2,q_t2,Mp_t2,Mm_t2,Demand_t3,q_t3,Mp_t3,Mm_t3,Demand_t4,q_t4,Mp_t4,Mm_t4,Demand_t5,q_t5,Mp_t5,Mm_t5,Demand_t6,q_t6,Mp_t6,Mm_t6,Demand_t7,q_t7,Mp_t7,Mm_t7,Demand_t8,q_t8,Mp_t8,Mm_t8,Demand_t9,q_t9,Mp_t9,Mm_t9,Demand_t10,q_t10,Mp_t10,Mm_t10
0,Gate Station,-90.0999798,35.00092287,201.9,30706,44005,1216,0.266,245557,0.666666667,265.9,16667,1000000,10000000,265.9,16667,1000000,10000000,265.9,16667,1000000,10000000,265.9,16667,1000000,10000000,265.9,16667,1000000,10000000,265.9,16667,1000000,10000000,265.9,16667,1000000,10000000,265.9,16667,1000000,10000000,265.9,16667,1000000,10000000,265.9,16667,1000000,10000000,265.9,16667,1000000,10000000
1,Gate Station,-89.78163161,35.18043243,445.36,53338,69180,1457,0.703,649047,1,702.7,20000,1000000,10000000,702.7,20000,1000000,10000000,702.7,20000,1000000,10000000,702.7,20000,1000000,10000000,702.7,20000,1000000,10000000,702.7,20000,1000000,10000000,702.7,20000,1000000,10000000,702.7,20000,1000000,10000000,702.7,20000,1000000,10000000,702.7,20000,1000000,10000000,702.7,20000,1000000,10000000
2,Gate Station,-89.67707961,35.3293155,137.75,72437,84132,211,0.031,29045,0.333333333,31.4,13333,1000000,10000000,31.4,13333,1000000,10000000,31.4,13333,1000000,10000000,31.4,13333,1000000,10000000,31.4,13333,1000000,10000000,31.4,13333,1000000,10000000,31.4,13333,1000000,10000000,31.4,13333,1000000,10000000,31.4,13333,1000000,10000000,31.4,13333,1000000,10000000,31.4,13333,1000000,10000000
3,Regulator Station,-89.98803481,34.9950598,89.42,35192,48224,2244,0.217290935,200701,0.846153846,-217.3,18462,1000000,10000000,-217.3,18462,1000000,10000000,-217.3,18462,1000000,10000000,-217.3,18462,1000000,10000000,-217.3,18462,1000000,10000000,-217.3,18462,1000000,10000000,-217.3,18462,1000000,10000000,-217.3,18462,1000000,10000000,-217.3,18462,1000000,10000000,-217.3,18462,1000000,10000000,-217.3,18462,1000000,10000000
4,Regulator Station,-89.95653054,35.2816051,200.74,36761,49233,713,0.154949,143119,0.923076923,-154.9,19231,1000000,10000000,-154.9,19231,1000000,10000000,-154.9,19231,1000000,10000000,-154.9,19231,1000000,10000000,-154.9,19231,1000000,10000000,-154.9,19231,1000000,10000000,-154.9,19231,1000000,10000000,-154.9,19231,1000000,10000000,-154.9,19231,1000000,10000000,-154.9,19231,1000000,10000000,-154.9,19231,1000000,10000000
5,Regulator Station,-89.82055292,35.18515738,101.62,54981,72607,2426,0.266844086,246470,0.961538462,-266.8,19615,1000000,10000000,-266.8,19615,1000000,10000000,-266.8,19615,1000000,10000000,-266.8,19615,1000000,10000000,-266.8,19615,1000000,10000000,-266.8,19615,1000000,10000000,-266.8,19615,1000000,10000000,-266.8,19615,1000000,10000000,-266.8,19615,1000000,10000000,-266.8,19615,1000000,10000000,-266.8,19615,1000000,10000000
6,Regulator Station,-89.69923838,35.20202691,24.54,93676,106469,666,0.017680755,16331,0.423076923,-17.7,14231,1000000,10000000,-17.7,14231,1000000,10000000,-17.7,14231,1000000,10000000,-17.7,14231,1000000,10000000,-17.7,14231,1000000,10000000,-17.7,14231,1000000,10000000,-17.7,14231,1000000,10000000,-17.7,14231,1000000,10000000,-17.7,14231,1000000,10000000,-17.7,14231,1000000,10000000,-17.7,14231,1000000,10000000
7,Regulator Station,-89.72597604,35.12464127,23.37,87585,109681,904,0.022878796,21132,0.384615385,-22.9,13846,1000000,10000000,-22.9,13846,1000000,10000000,-22.9,13846,1000000,10000000,-22.9,13846,1000000,10000000,-22.9,13846,1000000,10000000,-22.9,13846,1000000,10000000,-22.9,13846,1000000,10000000,-22.9,13846,1000000,10000000,-22.9,13846,1000000,10000000,-22.9,13846,1000000,10000000,-22.9,13846,1000000,10000000
8,Regulator Station,-89.73156616,35.08674797,35.19,86072,111729,1800,0.068592197,63355,0.615384615,-68.6,16154,1000000,10000000,-68.6,16154,1000000,10000000,-68.6,16154,1000000,10000000,-68.6,16154,1000000,10000000,-68.6,16154,1000000,10000000,-68.6,16154,1000000,10000000,-68.6,16154,1000000,10000000,-68.6,16154,1000000,10000000,-68.6,16154,1000000,10000000,-68.6,16154,1000000,10000000,-68.6,16154,1000000,10000000
9,Other,-90.16256275,35.08413268,99.66,27522,39956,435,0.046976076,43389,0.730769231,-47,17308,1000000,10000000,-47,17308,1000000,10000000,-47,17308,1000000,10000000,-47,17308,1000000,10000000,-47,17308,1000000,10000000,-47,17308,1000000,10000000,-47,17308,1000000,10000000,-47,17308,1000000,10000000,-47,17308,1000000,10000000,-47,17308,1000000,10000000,-47,17308,1000000,10000000
