ID,Length (ft),Length (km),Arc Type,Start Node,End Node,u_t0,f_t0,c_t0,u_t1,f_t1,c_t1,u_t2,f_t2,c_t2,u_t3,f_t3,c_t3,u_t4,f_t4,c_t4,u_t5,f_t5,c_t5,u_t6,f_t6,c_t6,u_t7,f_t7,c_t7,u_t8,f_t8,c_t8,u_t9,f_t9,c_t9,u_t10,f_t10,c_t10
0,22073.09372,6.728,Transmission Line,71,7,16.8,22073,22073,16.8,22073,22073,16.8,22073,22073,16.8,22073,22073,16.8,22073,22073,16.8,22073,22073,16.8,22073,22073,16.8,22073,22073,16.8,22073,22073,16.8,22073,22073,16.8,22073,22073
1,21811.25552,6.648,Transmission Line,71,70,1,21811,21811,1,21811,21811,1,21811,21811,1,21811,21811,1,21811,21811,1,21811,21811,1,21811,21811,1,21811,21811,1,21811,21811,1,21811,21811,1,21811,21811
2,29512.68003,8.995,Transmission Line,71,68,16.8,29513,29513,16.8,29513,29513,16.8,29513,29513,16.8,29513,29513,16.8,29513,29513,16.8,29513,29513,16.8,29513,29513,16.8,29513,29513,16.8,29513,29513,16.8,29513,29513,16.8,29513,29513
3,9311.764139,2.838,Transmission Line,1,31,58.2,9312,9312,58.2,9312,9312,58.2,9312,9312,58.2,9312,9312,58.2,9312,9312,58.2,9312,9312,58.2,9312,9312,58.2,9312,9312,58.2,9312,9312,58.2,9312,9312,58.2,9312,9312
4,13483.94603,4.11,Transmission Line,12,10,85,13484,13484,85,13484,13484,85,13484,13484,85,13484,13484,85,13484,13484,85,13484,13484,85,13484,13484,85,13484,13484,85,13484,13484,85,13484,13484,85,13484,13484
5,20727.52771,6.318,Transmission Line,9,10,1,20728,20728,1,20728,20728,1,20728,20728,1,20728,20728,1,20728,20728,1,20728,20728,1,20728,20728,1,20728,20728,1,20728,20728,1,20728,20728,1,20728,20728
6,12836.68672,3.913,Transmission Line,12,9,15.1,12837,12837,15.1,12837,12837,15.1,12837,12837,15.1,12837,12837,15.1,12837,12837,15.1,12837,12837,15.1,12837,12837,15.1,12837,12837,15.1,12837,12837,15.1,12837,12837,15.1,12837,12837
7,12949.96216,3.947,Transmission Line,36,3,27.5,12950,12950,27.5,12950,12950,27.5,12950,12950,27.5,12950,12950,27.5,12950,12950,27.5,12950,12950,27.5,12950,12950,27.5,12950,12950,27.5,12950,12950,27.5,12950,12950,27.5,12950,12950
8,8263.543975,2.519,Transmission Line,34,36,1.1,8264,8264,1.1,8264,8264,1.1,8264,8264,1.1,8264,8264,1.1,8264,8264,1.1,8264,8264,1.1,8264,8264,1.1,8264,8264,1.1,8264,8264,1.1,8264,8264,1.1,8264,8264
9,6708.413327,2.045,Transmission Line,34,18,14.2,6708,6708,14.2,6708,6708,14.2,6708,6708,14.2,6708,6708,14.2,6708,6708,14.2,6708,6708,14.2,6708,6708,14.2,6708,6708,14.2,6708,6708,14.2,6708,6708,14.2,6708,6708
10,24085.45622,7.341,Transmission Line,18,17,1,24085,24085,1,24085,24085,1,24085,24085,1,24085,24085,1,24085,24085,1,24085,24085,1,24085,24085,1,24085,24085,1,24085,24085,1,24085,24085,1,24085,24085
11,13820.82294,4.213,Transmission Line,35,3,25.1,13821,13821,25.1,13821,13821,25.1,13821,13821,25.1,13821,13821,25.1,13821,13821,25.1,13821,13821,25.1,13821,13821,25.1,13821,13821,25.1,13821,13821,25.1,13821,13821,25.1,13821,13821
12,8724.881713,2.659,Transmission Line,35,33,1,8725,8725,1,8725,8725,1,8725,8725,1,8725,8725,1,8725,8725,1,8725,8725,1,8725,8725,1,8725,8725,1,8725,8725,1,8725,8725,1,8725,8725
13,14106.6221,4.3,Transmission Line,2,33,49,14107,14107,49,14107,14107,49,14107,14107,49,14107,14107,49,14107,14107,49,14107,14107,49,14107,14107,49,14107,14107,49,14107,14107,49,14107,14107,49,14107,14107
14,30888.02286,9.415,Transmission Line,28,15,22.5,30888,30888,22.5,30888,30888,22.5,30888,30888,22.5,30888,30888,22.5,30888,30888,22.5,30888,30888,22.5,30888,30888,22.5,30888,30888,22.5,30888,30888,22.5,30888,30888,22.5,30888,30888
15,49063.07961,14.954,Transmission Line,7,8,1,49063,49063,1,49063,49063,1,49063,49063,1,49063,49063,1,49063,49063,1,49063,49063,1,49063,49063,1,49063,49063,1,49063,49063,1,49063,49063,1,49063,49063
