ID,X,Y,Node Type,Area (squate miles),Median income (dollars),Mean income (dollars),Density,percPop,population,Area-Population Score,Demand_t0,q (complete DS)_t0,Mp_t0,Mm_t0,Demand_t1,q (complete DS)_t1,Mp_t1,Mm_t1,Demand_t2,q (complete DS)_t2,Mp_t2,Mm_t2,Demand_t3,q (complete DS)_t3,Mp_t3,Mm_t3,Demand_t4,q (complete DS)_t4,Mp_t4,Mm_t4,Demand_t5,q (complete DS)_t5,Mp_t5,Mm_t5,Demand_t6,q (complete DS)_t6,Mp_t6,Mm_t6,Demand_t7,q (complete DS)_t7,Mp_t7,Mm_t7,Demand_t8,q (complete DS)_t8,Mp_t8,Mm_t8,Demand_t9,q (complete DS)_t9,Mp_t9,Mm_t9,Demand_t10,q (complete DS)_t10,Mp_t10,Mm_t10
0,-89.70905035,35.207253,Fiber or Microwave Node,60.98,89240,107601,565,0.037277865,34457,0.739130435,37.3,17391,1000000,10000000,37.3,17391,1000000,10000000,37.3,17391,1000000,10000000,37.3,17391,1000000,10000000,37.3,17391,1000000,10000000,37.3,17391,1000000,10000000,37.3,17391,1000000,10000000,37.3,17391,1000000,10000000,37.3,17391,1000000,10000000,37.3,17391,1000000,10000000,37.3,17391,1000000,10000000
1,-89.96061885,35.272947,Fiber or Microwave Node,84.42,36692,48505,301,0.027495273,25415,0.630434783,27.5,16304,1000000,10000000,27.5,16304,1000000,10000000,27.5,16304,1000000,10000000,27.5,16304,1000000,10000000,27.5,16304,1000000,10000000,27.5,16304,1000000,10000000,27.5,16304,1000000,10000000,27.5,16304,1000000,10000000,27.5,16304,1000000,10000000,27.5,16304,1000000,10000000,27.5,16304,1000000,10000000
2,-89.74330958,35.175611,Fiber or Microwave Node,26.25,76923,93183,1078,0.030603481,28288,0.434782609,30.6,14348,1000000,10000000,30.6,14348,1000000,10000000,30.6,14348,1000000,10000000,30.6,14348,1000000,10000000,30.6,14348,1000000,10000000,30.6,14348,1000000,10000000,30.6,14348,1000000,10000000,30.6,14348,1000000,10000000,30.6,14348,1000000,10000000,30.6,14348,1000000,10000000,30.6,14348,1000000,10000000
3,-89.83973084,35.185791,Fiber or Microwave Node,34.29,60935,75129,2167,0.080383906,74302,0.804347826,80.4,18043,1000000,10000000,80.4,18043,1000000,10000000,80.4,18043,1000000,10000000,80.4,18043,1000000,10000000,80.4,18043,1000000,10000000,80.4,18043,1000000,10000000,80.4,18043,1000000,10000000,80.4,18043,1000000,10000000,80.4,18043,1000000,10000000,80.4,18043,1000000,10000000,80.4,18043,1000000,10000000
4,-89.89954409,35.192086,Fiber or Microwave Node,12.49,38003,48122,2693,0.036372928,33621,0.282608696,36.4,12826,1000000,10000000,36.4,12826,1000000,10000000,36.4,12826,1000000,10000000,36.4,12826,1000000,10000000,36.4,12826,1000000,10000000,36.4,12826,1000000,10000000,36.4,12826,1000000,10000000,36.4,12826,1000000,10000000,36.4,12826,1000000,10000000,36.4,12826,1000000,10000000,36.4,12826,1000000,10000000
5,-89.94870857,35.172968,Fiber or Microwave Node,24.42,39535,59145,2964,0.078290731,72367,0.652173913,78.3,16522,1000000,10000000,78.3,16522,1000000,10000000,78.3,16522,1000000,10000000,78.3,16522,1000000,10000000,78.3,16522,1000000,10000000,78.3,16522,1000000,10000000,78.3,16522,1000000,10000000,78.3,16522,1000000,10000000,78.3,16522,1000000,10000000,78.3,16522,1000000,10000000,78.3,16522,1000000,10000000
6,-90.02310761,35.181469,Fiber or Microwave Node,51.92,30027,45882,1176,0.066050516,61053,0.804347826,66.1,18043,1000000,10000000,66.1,18043,1000000,10000000,66.1,18043,1000000,10000000,66.1,18043,1000000,10000000,66.1,18043,1000000,10000000,66.1,18043,1000000,10000000,66.1,18043,1000000,10000000,66.1,18043,1000000,10000000,66.1,18043,1000000,10000000,66.1,18043,1000000,10000000,66.1,18043,1000000,10000000
7,-89.77068835,35.142696,Fiber or Microwave Node,30.56,83539,108414,1671,0.055244732,51065,0.630434783,55.2,16304,1000000,10000000,55.2,16304,1000000,10000000,55.2,16304,1000000,10000000,55.2,16304,1000000,10000000,55.2,16304,1000000,10000000,55.2,16304,1000000,10000000,55.2,16304,1000000,10000000,55.2,16304,1000000,10000000,55.2,16304,1000000,10000000,55.2,16304,1000000,10000000,55.2,16304,1000000,10000000
8,-89.87813148,35.075331,Fiber or Microwave Node,30.47,49644,69151,3032,0.099936724,92375,0.782608696,99.9,17826,1000000,10000000,99.9,17826,1000000,10000000,99.9,17826,1000000,10000000,99.9,17826,1000000,10000000,99.9,17826,1000000,10000000,99.9,17826,1000000,10000000,99.9,17826,1000000,10000000,99.9,17826,1000000,10000000,99.9,17826,1000000,10000000,99.9,17826,1000000,10000000,99.9,17826,1000000,10000000
9,-90.06367138,35.115378,Fiber or Microwave Node,17.94,25127,36525,1628,0.031597741,29207,0.282608696,-968.4,12826,1000000,10000000,-968.4,12826,1000000,10000000,-968.4,12826,1000000,10000000,-968.4,12826,1000000,10000000,-968.4,12826,1000000,10000000,-968.4,12826,1000000,10000000,-968.4,12826,1000000,10000000,-968.4,12826,1000000,10000000,-968.4,12826,1000000,10000000,-968.4,12826,1000000,10000000,-968.4,12826,1000000,10000000
