ID,Length (ft),Length (km),Arc Type,Start Node,End Node,u_t0,f_t0,c_t0,u_t1,f_t1,c_t1,u_t2,f_t2,c_t2,u_t3,f_t3,c_t3,u_t4,f_t4,c_t4,u_t5,f_t5,c_t5,u_t6,f_t6,c_t6,u_t7,f_t7,c_t7,u_t8,f_t8,c_t8,u_t9,f_t9,c_t9,u_t10,f_t10,c_t10
0,30773.49646,9.38,Water pipe,0,16,40.5,30773,30773,40.5,30773,30773,40.5,30773,30773,40.5,30773,30773,40.5,30773,30773,40.5,30773,30773,40.5,30773,30773,40.5,30773,30773,40.5,30773,30773,40.5,30773,30773,40.5,30773,30773
1,36434.41026,11.105,Water pipe,15,0,36.849,36434,36434,36.849,36434,36434,36.849,36434,36434,36.849,36434,36434,36.849,36434,36434,36.849,36434,36434,36.849,36434,36434,36.849,36434,36434,36.849,36434,36434,36.849,36434,36434,36.849,36434,36434
2,22537.89131,6.87,Water pipe,3,0,1,22538,22538,1,22538,22538,1,22538,22538,1,22538,22538,1,22538,22538,1,22538,22538,1,22538,22538,1,22538,22538,1,22538,22538,1,22538,22538,1,22538,22538
3,37132.87927,11.318,Water pipe,2,1,21.303,37133,37133,21.303,37133,37133,21.303,37133,37133,21.303,37133,37133,21.303,37133,37133,21.303,37133,37133,21.303,37133,37133,21.303,37133,37133,21.303,37133,37133,21.303,37133,37133,21.303,37133,37133
4,29868.60079,9.104,Water pipe,1,15,1.362,29869,29869,1.362,29869,29869,1.362,29869,29869,1.362,29869,29869,1.362,29869,29869,1.362,29869,29869,1.362,29869,29869,1.362,29869,29869,1.362,29869,29869,1.362,29869,29869,1.362,29869,29869
5,32597.76914,9.936,Water pipe,20,2,6.081,32598,32598,6.081,32598,32598,6.081,32598,32598,6.081,32598,32598,6.081,32598,32598,6.081,32598,32598,6.081,32598,32598,6.081,32598,32598,6.081,32598,32598,6.081,32598,32598,6.081,32598,32598
6,35696.39868,10.88,Water pipe,19,20,1,35696,35696,1,35696,35696,1,35696,35696,1,35696,35696,1,35696,35696,1,35696,35696,1,35696,35696,1,35696,35696,1,35696,35696,1,35696,35696,1,35696,35696
7,11289.59826,3.441,Water pipe,15,17,1,11290,11290,1,11290,11290,1,11290,11290,1,11290,11290,1,11290,11290,1,11290,11290,1,11290,11290,1,11290,11290,1,11290,11290,1,11290,11290,1,11290,11290
8,18728.49254,5.708,Water pipe,18,17,1,18728,18728,1,18728,18728,1,18728,18728,1,18728,18728,1,18728,18728,1,18728,18728,1,18728,18728,1,18728,18728,1,18728,18728,1,18728,18728,1,18728,18728
9,21742.88128,6.627,Water pipe,17,3,14.752,21743,21743,14.752,21743,21743,14.752,21743,21743,14.752,21743,21743,14.752,21743,21743,14.752,21743,21743,14.752,21743,21743,14.752,21743,21743,14.752,21743,21743,14.752,21743,21743,14.752,21743,21743
10,63398.61278,19.324,Water pipe,25,3,3.15,63399,63399,3.15,63399,63399,3.15,63399,63399,3.15,63399,63399,3.15,63399,63399,3.15,63399,63399,3.15,63399,63399,3.15,63399,63399,3.15,63399,63399,3.15,63399,63399,3.15,63399,63399
11,14822.24317,4.518,Water pipe,19,18,23.768,14822,14822,23.768,14822,14822,23.768,14822,14822,23.768,14822,14822,23.768,14822,14822,23.768,14822,14822,23.768,14822,14822,23.768,14822,14822,23.768,14822,14822,23.768,14822,14822,23.768,14822,14822
12,16958.40194,5.169,Water pipe,22,18,1,16958,16958,1,16958,16958,1,16958,16958,1,16958,16958,1,16958,16958,1,16958,16958,1,16958,16958,1,16958,16958,1,16958,16958,1,16958,16958,1,16958,16958
13,21000.03497,6.401,Water pipe,1,19,80.362,21000,21000,80.362,21000,21000,80.362,21000,21000,80.362,21000,21000,80.362,21000,21000,80.362,21000,21000,80.362,21000,21000,80.362,21000,21000,80.362,21000,21000,80.362,21000,21000,80.362,21000,21000
14,17755.74172,5.412,Water pipe,3,24,126.351,17756,17756,126.351,17756,17756,126.351,17756,17756,126.351,17756,17756,126.351,17756,17756,126.351,17756,17756,126.351,17756,17756,126.351,17756,17756,126.351,17756,17756,126.351,17756,17756,126.351,17756,17756
15,13023.87173,3.97,Water pipe,19,4,15.531,13024,13024,15.531,13024,13024,15.531,13024,13024,15.531,13024,13024,15.531,13024,13024,15.531,13024,13024,15.531,13024,13024,15.531,13024,13024,15.531,13024,13024,15.531,13024,13024,15.531,13024,13024
16,14800.7354,4.511,Water pipe,4,22,43.333,14801,14801,43.333,14801,14801,43.333,14801,14801,43.333,14801,14801,43.333,14801,14801,43.333,14801,14801,43.333,14801,14801,43.333,14801,14801,43.333,14801,14801,43.333,14801,14801,43.333,14801,14801
17,18215.27062,5.552,Water pipe,5,22,3.67,18215,18215,3.67,18215,18215,3.67,18215,18215,3.67,18215,18215,3.67,18215,18215,3.67,18215,18215,3.67,18215,18215,3.67,18215,18215,3.67,18215,18215,3.67,18215,18215,3.67,18215,18215
18,22376.90131,6.82,Water pipe,17,5,35.211,22377,22377,35.211,22377,22377,35.211,22377,22377,35.211,22377,22377,35.211,22377,22377,35.211,22377,22377,35.211,22377,22377,35.211,22377,22377,35.211,22377,22377,35.211,22377,22377,35.211,22377,22377
19,22585.64307,6.884,Water pipe,24,5,1,22586,22586,1,22586,22586,1,22586,22586,1,22586,22586,1,22586,22586,1,22586,22586,1,22586,22586,1,22586,22586,1,22586,22586,1,22586,22586,1,22586,22586
20,27935.34686,8.515,Water pipe,26,5,1,27935,27935,1,27935,27935,1,27935,27935,1,27935,27935,1,27935,27935,1,27935,27935,1,27935,27935,1,27935,27935,1,27935,27935,1,27935,27935,1,27935,27935
21,15538.54506,4.736,Water pipe,27,25,1,15539,15539,1,15539,15539,1,15539,15539,1,15539,15539,1,15539,15539,1,15539,15539,1,15539,15539,1,15539,15539,1,15539,15539,1,15539,15539,1,15539,15539
22,15000.04216,4.572,Water pipe,29,25,22.954,15000,15000,22.954,15000,15000,22.954,15000,15000,22.954,15000,15000,22.954,15000,15000,22.954,15000,15000,22.954,15000,15000,22.954,15000,15000,22.954,15000,15000,22.954,15000,15000,22.954,15000,15000
23,28032.92512,8.544,Water pipe,9,27,17.638,28033,28033,17.638,28033,28033,17.638,28033,28033,17.638,28033,28033,17.638,28033,28033,17.638,28033,28033,17.638,28033,28033,17.638,28033,28033,17.638,28033,28033,17.638,28033,28033,17.638,28033,28033
24,10952.84108,3.338,Water pipe,4,26,1,10953,10953,1,10953,10953,1,10953,10953,1,10953,10953,1,10953,10953,1,10953,10953,1,10953,10953,1,10953,10953,1,10953,10953,1,10953,10953,1,10953,10953
25,9220.497942,2.81,Water pipe,7,26,36.943,9220,9220,36.943,9220,9220,36.943,9220,9220,36.943,9220,9220,36.943,9220,9220,36.943,9220,9220,36.943,9220,9220,36.943,9220,9220,36.943,9220,9220,36.943,9220,9220,36.943,9220,9220
26,14045.65217,4.281,Water pipe,5,30,94.864,14046,14046,94.864,14046,14046,94.864,14046,14046,94.864,14046,14046,94.864,14046,14046,94.864,14046,14046,94.864,14046,14046,94.864,14046,14046,94.864,14046,14046,94.864,14046,14046,94.864,14046,14046
27,31004.48525,9.45,Water pipe,8,30,1,31004,31004,1,31004,31004,1,31004,31004,1,31004,31004,1,31004,31004,1,31004,31004,1,31004,31004,1,31004,31004,1,31004,31004,1,31004,31004,1,31004,31004
28,38070.7918,11.604,Water pipe,10,30,1,38071,38071,1,38071,38071,1,38071,38071,1,38071,38071,1,38071,38071,1,38071,38071,1,38071,38071,1,38071,38071,1,38071,38071,1,38071,38071,1,38071,38071
29,23739.48034,7.236,Water pipe,30,7,1,23739,23739,1,23739,23739,1,23739,23739,1,23739,23739,1,23739,23739,1,23739,23739,1,23739,23739,1,23739,23739,1,23739,23739,1,23739,23739,1,23739,23739
30,31111.81919,9.483,Water pipe,33,7,1,31112,31112,1,31112,31112,1,31112,31112,1,31112,31112,1,31112,31112,1,31112,31112,1,31112,31112,1,31112,31112,1,31112,31112,1,31112,31112,1,31112,31112
