ID,X,Y,Node Type,Area (squate miles),Median income (dollars),Mean income (dollars),Density,percPop,population,Area-Population Score,Demand-t0,q (complete DS)_t0,Mp_t0,Mm_t0,Demand-t1,q (complete DS)_t1,Mp_t1,Mm_t1,Demand-t2,q (complete DS)_t2,Mp_t2,Mm_t2,Demand-t3,q (complete DS)_t3,Mp_t3,Mm_t3,Demand-t4,q (complete DS)_t4,Mp_t4,Mm_t4,Demand-t5,q (complete DS)_t5,Mp_t5,Mm_t5,Demand-t6,q (complete DS)_t6,Mp_t6,Mm_t6,Demand-t7,q (complete DS)_t7,Mp_t7,Mm_t7,Demand-t8,q (complete DS)_t8,Mp_t8,Mm_t8,Demand-t9,q (complete DS)_t9,Mp_t9,Mm_t9,Demand-t10,q (complete DS)_t10,Mp_t10,Mm_t10
0,-89.81072359,35.00485525,Storage Tank,52,80192,97677,1379,0.078,71730,0.566666667,77.659,15667,1000000,10000000,77.659,15667,1000000,10000000,77.659,15667,1000000,10000000,77.659,15667,1000000,10000000,77.659,15667,1000000,10000000,77.659,15667,1000000,10000000,77.659,15667,1000000,10000000,77.659,15667,1000000,10000000,77.659,15667,1000000,10000000,77.659,15667,1000000,10000000,77.659,15667,1000000,10000000
1,-90.01350689,35.00723595,Pumping Station,30.84,35395,44686,1817,0.061,56032,0.3,60.664,13000,1000000,10000000,60.664,13000,1000000,10000000,60.664,13000,1000000,10000000,60.664,13000,1000000,10000000,60.664,13000,1000000,10000000,60.664,13000,1000000,10000000,60.664,13000,1000000,10000000,60.664,13000,1000000,10000000,60.664,13000,1000000,10000000,60.664,13000,1000000,10000000,60.664,13000,1000000,10000000
2,-90.1180831,35.02483649,Pumping Station,69.01,25607,32372,368,0.027,25395,0.566666667,27.494,15667,1000000,10000000,27.494,15667,1000000,10000000,27.494,15667,1000000,10000000,27.494,15667,1000000,10000000,27.494,15667,1000000,10000000,27.494,15667,1000000,10000000,27.494,15667,1000000,10000000,27.494,15667,1000000,10000000,27.494,15667,1000000,10000000,27.494,15667,1000000,10000000,27.494,15667,1000000,10000000
3,-89.85424473,35.05372432,Pumping Station,53.45,57718,76783,2503,0.145,133775,0.833333333,144.833,18333,1000000,10000000,144.833,18333,1000000,10000000,144.833,18333,1000000,10000000,144.833,18333,1000000,10000000,144.833,18333,1000000,10000000,144.833,18333,1000000,10000000,144.833,18333,1000000,10000000,144.833,18333,1000000,10000000,144.833,18333,1000000,10000000,144.833,18333,1000000,10000000,144.833,18333,1000000,10000000
4,-90.02756048,35.10091371,Pumping Station,37.6,27261,38334,1741,0.071,65462,0.366666667,70.873,13667,1000000,10000000,70.873,13667,1000000,10000000,70.873,13667,1000000,10000000,70.873,13667,1000000,10000000,70.873,13667,1000000,10000000,70.873,13667,1000000,10000000,70.873,13667,1000000,10000000,70.873,13667,1000000,10000000,70.873,13667,1000000,10000000,70.873,13667,1000000,10000000,70.873,13667,1000000,10000000
5,-89.93030941,35.114479,Pumping Station,38.51,40695,60281,3221,0.134,124029,0.6,134.282,16000,1000000,10000000,134.282,16000,1000000,10000000,134.282,16000,1000000,10000000,134.282,16000,1000000,10000000,134.282,16000,1000000,10000000,134.282,16000,1000000,10000000,134.282,16000,1000000,10000000,134.282,16000,1000000,10000000,134.282,16000,1000000,10000000,134.282,16000,1000000,10000000,134.282,16000,1000000,10000000
6,-89.64163653,35.16926573,Storage Tank,52.25,102491,128574,812,0.046,42439,0.5,45.947,15000,1000000,10000000,45.947,15000,1000000,10000000,45.947,15000,1000000,10000000,45.947,15000,1000000,10000000,45.947,15000,1000000,10000000,45.947,15000,1000000,10000000,45.947,15000,1000000,10000000,45.947,15000,1000000,10000000,45.947,15000,1000000,10000000,45.947,15000,1000000,10000000,45.947,15000,1000000,10000000
7,-90.01471543,35.15647357,Pumping Station,47.16,31297,46661,2096,0.107,98861,0.6,107.034,16000,1000000,10000000,107.034,16000,1000000,10000000,107.034,16000,1000000,10000000,107.034,16000,1000000,10000000,107.034,16000,1000000,10000000,107.034,16000,1000000,10000000,107.034,16000,1000000,10000000,107.034,16000,1000000,10000000,107.034,16000,1000000,10000000,107.034,16000,1000000,10000000,107.034,16000,1000000,10000000
8,-89.8527066,35.18172986,Pumping Station,50.94,58400,73134,2300,0.127,117150,0.666666667,126.834,16667,1000000,10000000,126.834,16667,1000000,10000000,126.834,16667,1000000,10000000,126.834,16667,1000000,10000000,126.834,16667,1000000,10000000,126.834,16667,1000000,10000000,126.834,16667,1000000,10000000,126.834,16667,1000000,10000000,126.834,16667,1000000,10000000,126.834,16667,1000000,10000000,126.834,16667,1000000,10000000
9,-89.75838583,35.2006367,Storage Tank,69.47,82991,99831,1180,0.089,81964,0.8,88.74,18000,1000000,10000000,88.74,18000,1000000,10000000,88.74,18000,1000000,10000000,88.74,18000,1000000,10000000,88.74,18000,1000000,10000000,88.74,18000,1000000,10000000,88.74,18000,1000000,10000000,88.74,18000,1000000,10000000,88.74,18000,1000000,10000000,88.74,18000,1000000,10000000,88.74,18000,1000000,10000000
10,-89.94980067,35.246328,Pumping Station,73.47,42428,52964,986,0.078,72420,0.8,78.407,18000,1000000,10000000,78.407,18000,1000000,10000000,78.407,18000,1000000,10000000,78.407,18000,1000000,10000000,78.407,18000,1000000,10000000,78.407,18000,1000000,10000000,78.407,18000,1000000,10000000,78.407,18000,1000000,10000000,78.407,18000,1000000,10000000,78.407,18000,1000000,10000000,78.407,18000,1000000,10000000
