,value,set,sce
16,46.0,2,13
29,14.0,2,52
48,21.0,3,44
61,18.0,3,85
62,15.0,3,95
63,22.0,4,3
66,16.0,4,14
83,12.0,4,66
102,54.0,5,46
111,13.0,5,78
117,27.0,5,92
125,30.0,6,36
128,32.0,6,55
137,20.0,7,2
150,13.0,7,49
185,17.0,9,24
187,15.0,9,53
190,18.0,9,62
216,15.0,10,68
231,14.0,11,26
240,15.0,11,78
244,12.0,11,90
260,13.0,12,60
299,13.0,14,67
319,18.0,15,51
325,48.0,15,88
336,52.0,16,39
343,19.0,16,93
348,14.0,17,23
361,21.0,17,83
373,20.0,18,55
396,49.0,19,44
402,16.0,19,60
405,23.0,19,64
413,34.0,19,95
415,62.0,20,22
432,12.0,21,48
463,13.0,23,78
467,68.0,24,5
468,13.0,24,6
470,12.0,24,19
476,19.0,24,60
511,12.0,26,26
514,14.0,26,40
522,12.0,26,80
536,25.0,27,51
537,38.0,27,53
538,13.0,27,79
547,12.0,28,36
548,12.0,28,37
567,14.0,29,35
582,24.0,30,38
584,39.0,30,60
587,19.0,30,76
590,22.0,30,91
593,28.0,31,3
599,50.0,31,17
609,14.0,31,79
612,52.0,31,92
616,13.0,32,21
618,13.0,32,26
623,15.0,32,67
625,19.0,32,78
651,17.0,33,92
658,14.0,34,34
671,12.0,35,28
684,12.0,35,95
686,30.0,36,6
693,19.0,36,40
697,17.0,36,59
698,18.0,36,62
709,15.0,37,5
710,19.0,37,14
711,16.0,37,15
719,34.0,37,85
728,22.0,38,25
731,25.0,38,54
752,16.0,39,58
759,37.0,40,37
764,24.0,40,50
769,23.0,40,85
771,15.0,40,87
781,20.0,41,38
787,18.0,41,64
788,13.0,41,68
793,37.0,41,90
808,16.0,42,84
815,16.0,43,16
817,25.0,43,22
823,24.0,43,55
830,21.0,44,2
847,56.0,44,77
862,42.0,45,60
864,12.0,45,72
933,25.0,48,64
938,15.0,48,80
949,14.0,49,50
950,58.0,49,53
956,20.0,49,77
961,13.0,49,94
977,15.0,50,92
