,value,set,sce
1,63.0,1,13
9,14.0,1,52
20,13.0,1,85
25,15.0,2,24
31,33.0,2,44
39,20.0,2,85
42,16.0,2,95
43,25.0,3,3
45,29.0,3,14
74,81.0,4,46
80,17.0,4,78
88,38.0,4,92
96,40.0,5,36
98,39.0,5,55
105,33.0,6,2
107,16.0,6,16
139,17.0,7,77
156,20.0,8,24
163,16.0,8,53
166,26.0,8,62
190,17.0,9,68
203,17.0,10,26
218,24.0,10,90
238,14.0,11,66
257,15.0,12,76
278,13.0,13,63
279,26.0,13,67
302,23.0,14,51
309,50.0,14,88
322,13.0,15,25
326,50.0,15,39
336,27.0,15,93
341,14.0,16,23
348,27.0,16,83
363,13.0,17,55
381,75.0,18,44
388,35.0,18,64
394,55.0,18,95
401,90.0,19,22
421,21.0,20,48
458,13.0,22,90
460,93.0,23,5
463,14.0,23,19
473,30.0,23,60
476,15.0,23,73
512,21.0,25,17
515,21.0,25,26
519,18.0,25,40
527,20.0,25,80
540,32.0,26,51
541,59.0,26,53
557,16.0,27,36
558,14.0,27,37
583,23.0,28,35
602,23.0,29,38
606,53.0,29,60
611,26.0,29,76
615,17.0,29,91
617,31.0,30,3
620,80.0,30,17
635,67.0,30,92
638,18.0,31,21
640,22.0,31,26
648,28.0,31,67
649,22.0,31,78
682,14.0,32,92
686,15.0,33,34
704,21.0,34,28
713,15.0,34,58
723,39.0,35,6
729,25.0,35,40
731,17.0,35,59
733,21.0,35,62
744,16.0,36,5
747,19.0,36,14
748,22.0,36,15
760,57.0,36,85
768,27.0,37,25
769,18.0,37,42
772,34.0,37,54
795,22.0,38,58
802,46.0,39,37
806,46.0,39,50
813,19.0,39,85
815,13.0,39,87
824,14.0,40,38
830,28.0,40,64
835,32.0,40,90
841,16.0,41,32
847,13.0,41,58
851,26.0,41,84
856,18.0,42,16
858,24.0,42,22
865,22.0,42,55
874,22.0,43,2
889,59.0,43,77
905,55.0,44,60
910,14.0,44,72
953,13.0,46,59
973,19.0,47,58
976,31.0,47,64
989,22.0,48,50
991,101.0,48,53
996,18.0,48,77
999,13.0,48,90
1003,16.0,49,14
1011,13.0,49,76
1014,17.0,49,92
