 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(12, 3)" -1.2375 0.3677 0.023 -1.9565 -0.5493 210.4685 1.0065
"p((12, 3))_0" 0.4603 0.1867 0.0107 0.1198 0.8683 166.8921 1.0311
"p((12, 3))_1" 0.321 0.086 0.0056 0.1566 0.4869 187.5845 1.0032
"p((12, 3))_2" 0.2936 0.0901 0.0058 0.1326 0.4651 193.161 1.0044
"p((12, 3))_3" 0.2885 0.0916 0.0059 0.135 0.4726 194.2532 1.0056
"p((12, 3))_4" 0.2876 0.0919 0.0059 0.133 0.4715 194.4014 1.0059
"p((12, 3))_5" 0.2874 0.0919 0.0059 0.1328 0.4715 194.4211 1.006
"p((12, 3))_6" 0.2874 0.0919 0.0059 0.1329 0.4716 194.4237 1.006
"p((12, 3))_7" 0.2874 0.0919 0.0059 0.1342 0.4729 194.4242 1.006
"p((12, 3))_8" 0.2874 0.0919 0.0059 0.1342 0.4729 194.4242 1.006
"p((12, 3))_9" 0.2874 0.0919 0.0059 0.1342 0.4729 194.4243 1.006
"p((12, 3))_10" 0.2874 0.0919 0.0059 0.1342 0.4729 194.4243 1.006
