 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(17, 1)" 0.027 1.0017 0.0129 -1.9286 1.99 5728.83 1.0
"p((17, 1))_0" 0.5009 0.2283 0.0027 0.0967 0.9061 5582.2857 1.0001
"p((17, 1))_1" 0.6076 0.2046 0.0026 0.2124 0.9413 5560.0578 1.0
"p((17, 1))_2" 0.6228 0.2284 0.0029 0.179 0.9637 5565.6854 1.0
"p((17, 1))_3" 0.6249 0.2325 0.003 0.171 0.9631 5556.5629 1.0
"p((17, 1))_4" 0.6253 0.2332 0.003 0.1702 0.9631 5554.3353 1.0
"p((17, 1))_5" 0.6254 0.2333 0.003 0.17 0.9631 5553.9217 1.0
"p((17, 1))_6" 0.6254 0.2334 0.003 0.17 0.9631 5553.8538 1.0
"p((17, 1))_7" 0.6254 0.2334 0.003 0.17 0.9631 5553.844 1.0
"p((17, 1))_8" 0.6254 0.2334 0.003 0.17 0.9631 5553.8429 1.0
"p((17, 1))_9" 0.6254 0.2334 0.003 0.17 0.9631 5553.8429 1.0
"p((17, 1))_10" 0.6254 0.2334 0.003 0.17 0.9631 5553.843 1.0
