 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(73, 3)" -0.004 1.0064 0.0143 -1.9819 1.9761 6185.3682 1.0005
"p((73, 3))_0" 0.5001 0.2184 0.0031 0.1138 0.9108 5300.411 1.0
"p((73, 3))_1" 0.6009 0.2062 0.003 0.2191 0.9505 5716.8787 1.0006
"p((73, 3))_2" 0.6152 0.2297 0.0034 0.1836 0.9673 6179.7633 1.0008
"p((73, 3))_3" 0.6174 0.2338 0.0034 0.1791 0.9709 6164.8447 1.0008
"p((73, 3))_4" 0.6177 0.2345 0.0035 0.178 0.9709 6161.2022 1.0008
"p((73, 3))_5" 0.6178 0.2346 0.0035 0.1778 0.9709 6160.3395 1.0008
"p((73, 3))_6" 0.6178 0.2347 0.0035 0.1778 0.9709 6160.1369 1.0008
"p((73, 3))_7" 0.6178 0.2347 0.0035 0.1778 0.9709 6160.0893 1.0008
"p((73, 3))_8" 0.6178 0.2347 0.0035 0.1778 0.9709 6160.0782 1.0008
"p((73, 3))_9" 0.6178 0.2347 0.0035 0.1778 0.9709 6160.0755 1.0008
"p((73, 3))_10" 0.6178 0.2347 0.0035 0.1778 0.9709 6160.0749 1.0008
