name time mean sd conv trainSize Rhat
w_65_P 1 0.2772 0.0811 1 25 1.0012
w_65_P 2 0.5251 0.10300000000000001 1 19 0.9996
w_65_P 3 0.2991 0.1194 1 9 0.9993
w_65_P 4 0.2825 0.1261 1 7 0.9998
w_65_P 5 0.3047 0.134 1 6 0.9990000000000001
w_66_P 1 0.8722 0.0475 1 36 1.0037
w_67_P 1 0.5981 0.0806 1 33 1.0027
w_67_P 2 0.7636 0.0988 1 13 1.0025
w_68_P 1 0.5165 0.0726 1 40 1.0007
w_68_P 2 0.4809 0.0998 1 19 1.0066
w_68_P 3 0.5004 0.1355 1 10 1.0001
w_69_P 1 0.2911 0.0757 1 34 1.0038
w_69_P 2 0.42200000000000004 0.09300000000000001 1 25 1.0085
w_69_P 3 0.4855 0.11199999999999999 1 15 0.9991
w_69_P 4 0.6763 0.1282 1 8 1.0053
w_70_P 1 0.5823 0.0697 1 43 1.0095
w_70_P 2 0.4953 0.1063 1 18 1.001
w_70_P 3 0.6894 0.1226 1 9 0.9991
w_71_P 1 0.5699 0.0672 1 52 1.0146
w_71_P 2 0.4197 0.0953 1 22 1.0051
w_71_P 3 0.3519 0.1164 1 13 0.9993
w_71_P 4 0.23399999999999999 0.1077 1 9 0.9992
w_71_P 5 0.3344 0.1331 1 8 0.9990000000000001
w_71_P 6 0.586 0.1525 1 6 1.0018
w_72_P 1 0.2525 0.1199 1 8 0.9993
w_72_P 2 0.3718 0.1407 1 7 0.9998
w_73_P 1 0.3155 0.1294 1 9 1.0138
w_73_P 2 0.397 0.18 1 7 1.0133
w_73_P 3 0.2767 0.125 1 7 0.9990000000000001
w_73_P 4 0.3035 0.1371 1 6 1.0017
w_75_P 1 0.2745 0.1275 1 7 0.9995
w_75_P 3 0.507 0.1536 1 6 1.0004
w_76_P 1 0.2326 0.1146 1 9 0.9995
w_76_P 2 0.2527 0.127 1 8 0.9997
w_76_P 3 0.4478 0.1468 1 7 1.0008
w_77_P 1 0.33399999999999996 0.1262 1 8 0.9990000000000001
w_77_P 2 0.2887 0.1352 1 6 0.9991
w_78_P 1 0.2301 0.1193 1 9 1.0019
w_78_P 2 0.3712 0.1834 1 8 1.0113
w_78_P 3 0.2368 0.1187 1 8 0.9991
w_78_P 4 0.3778 0.18899999999999997 1 7 1.0351
w_78_P 5 0.2745 0.1279 1 7 0.9999
w_78_P 6 0.3733 0.1855 1 6 1.0642
w_78_P 7 0.2921 0.1321 1 6 1.0088
w_79_P 1 0.299 0.1384 1 6 1.005
w_80_P 1 0.2577 0.1197 1 8 1.0088
w_80_P 2 0.4601 0.1454 1 7 1.0039
w_81_P 1 0.3964 0.163 1 7 0.9994
w_81_P 2 0.2778 0.133 1 7 1.0033
w_81_P 3 0.3116 0.1379 1 6 1.0023
w_83_P 2 0.2483 0.1245 1 8 1.0215
w_83_P 3 0.3583 0.162 1 7 1.0802
w_83_P 5 0.452 0.1459 1 7 0.9994
w_84_P 1 0.3663 0.1729 1 8 1.2117
w_84_P 2 0.3337 0.1281 1 8 1.0019
w_84_P 3 0.2939 0.1422 1 6 1.0044
w_85_P 1 0.3573 0.1674 1 7 1.0828
w_85_P 2 0.3663 0.1442 1 7 1.0029
w_86_P 1 0.3544 0.1226 1 10 0.9995
w_86_P 2 0.3462 0.1717 1 7 1.0034
w_86_P 3 0.3865 0.1777 1 7 1.0932
w_86_P 5 0.2703 0.1259 1 7 0.9994
w_86_P 7 0.4066 0.1484 1 6 0.9991
w_88_P 1 0.4312 0.1954 1 11 1.2085
w_88_P 2 0.4064 0.1211 1 11 0.9992
w_88_P 3 0.37 0.1423 1 7 1.0003
w_89_P 1 0.3654 0.1888 1 6 1.0412
w_89_P 2 0.3886 0.1824 1 6 1.0366
w_89_P 4 0.293 0.1358 1 6 0.9992
w_92_P 1 0.3708 0.1317 1 7 0.9994
w_95_P 1 0.2725 0.1338 1 7 1.0035
w_95_P 3 0.4016 0.1407 1 6 1.0149
w_100_P 1 0.3321 0.1552 1 6 0.9990000000000001
w_100_P 2 0.2928 0.1396 1 6 1.0002
w_105_P 1 0.4147 0.145 1 6 0.9993
w_107_P 2 0.2381 0.1113 1 9 1.0033
w_107_P 3 0.2521 0.1222 1 8 1.0064
w_107_P 4 0.27399999999999997 0.1272 1 7 0.9996
w_107_P 5 0.3851 0.16899999999999998 1 6 0.9995
w_107_P 6 0.2911 0.1379 1 6 0.9990000000000001
w_108_P 1 0.2518 0.1167 1 8 1.0013
w_108_P 2 0.4365 0.1898 1 7 0.9991
w_108_P 4 0.2749 0.1282 1 7 0.9991
w_108_P 5 0.3927 0.1444 1 6 0.9995
w_123_P 1 0.3129 0.0624 1 44 0.9998
w_123_P 2 0.3162 0.0802 1 31 1.0004
w_123_P 3 0.39799999999999996 0.0959 1 22 1.0027
w_123_P 4 0.3831 0.1122 1 14 1.0006
w_123_P 5 0.45799999999999996 0.1816 1 9 1.1072
w_123_P 6 0.2442 0.114 1 9 1.0006
w_123_P 7 0.26 0.1232 1 8 0.9997
w_123_P 8 0.2698 0.1228 1 7 0.9999
w_123_P 9 0.2931 0.1392 1 6 0.9991
