y,resource allocation,topology,L,N,gamma,Pi,Pd,Rc
Res,MDA,Random,0.172854317,0.153770982,-0.464023851,-0.026565518,0.310751927,-0.19615931
Res,MDA,Scale Free ,0.262926152,0.121778229,0.210103739,0.102583021,0.489923825,-0.061019124
Res,MDA,Grid,0.200667131,0.128280374,0.124262,0.080195901,0.3438894,0.01956884
Res,MAA,Random,-0.040800203,0.090543532,-0.197240993,-0.043918682,0.130514664,-0.028608082
Res,MAA,Scale Free ,0.03741324,0.068653508,0.099415674,0.068662054,0.227242654,-0.00742325
Res,MAA,Grid,0.162627783,0.143700523,0.129417097,0.086842202,0.344773479,0.018438093
Res,MCA,Random,0.165303219,0.173359449,-0.445853743,-0.004689109,0.241411501,-0.226341796
Res,MCA,Scale Free ,0.320503001,0.230384581,0.221262406,0.254703406,0.408909659,-0.037894937
Res,MCA,Grid,0.218545811,0.168838743,0.158404216,0.121281413,0.33048329,-0.01189504
Res,Uniform,Random,-0.010465351,0.419984819,0.149580282,0.105282442,0.449813901,0.956002854
Res,Uniform,Scale Free ,-0.161639852,0.416569009,-0.280518492,-0.040788579,0.198277535,0.976945388
Res,Uniform,Grid,-0.465882237,0.37853969,0.149659916,0.179671208,0.481616774,0.925459625
Perf,MDA,Random,-0.174536159,-0.074336009,0.162455736,-0.120727293,-0.129152866,0.132016232
Perf,MDA,Scale Free ,-0.129113558,0.064476001,-0.125746778,-0.19101683,-0.118462088,0.070686726
Perf,MDA,Grid,-0.287059811,-0.134595045,-0.132654693,-0.204213556,-0.188446562,0.072088064
Perf,MAA,Random,-0.136830215,-0.071636386,0.141210719,-0.085798645,-0.115325742,0.162855645
Perf,MAA,Scale Free ,-0.14828199,0.077455626,-0.130794868,-0.184263672,-0.149988315,0.088944606
Perf,MAA,Grid,-0.267442453,-0.114902229,-0.1263734,-0.19477278,-0.173642626,0.105725148
Perf,MCA,Random,-0.181981602,-0.110170608,0.157829671,-0.125712461,-0.132912945,0.118042589
Perf,MCA,Scale Free ,-0.396654554,-0.240919806,-0.258779739,-0.375563986,-0.281598711,0.010449066
Perf,MCA,Grid,-0.350024322,-0.209853614,-0.179897046,-0.235393772,-0.209014307,0.07559664
Perf,Uniform,Random,-0.197050419,-0.058172243,0.149112112,-0.059108659,-0.09979803,0.178873653
Perf,Uniform,Scale Free ,-0.292598888,-0.048736916,-0.220504417,-0.267608224,-0.169514778,0.078111123
Perf,Uniform,Grid,-0.344673373,-0.145813407,-0.191778745,-0.124353637,-0.072880929,0.142955676
