,config_param,auction,topology,delta,delta_CI,delta_CI/delta,rank,rank_corrected
0,L,UNIFORM,Random,0.363044916,0.003717456,1.02%,2,2
1,N,UNIFORM,Random,0.30379701,0.011857655,3.90%,5,5
2,gamma,UNIFORM,Random,0.306149194,0.015697489,5.13%,4,4
3,pi,UNIFORM,Random,0.301517731,0.009101083,3.02%,6,6
4,pd,UNIFORM,Random,0.351958957,0.014726212,4.18%,3,3
5,Rc,UNIFORM,Random,0.664006889,0.011834666,1.78%,1,1
6,L,MCA,Random,0.200899877,0.004839552,2.41%,1,1
7,N,MCA,Random,0.152142972,0.008943395,5.88%,5,5
8,gamma,MCA,Random,0.179263775,0.01108527,6.18%,4,4
9,pi,MCA,Random,0.136719471,0.005764501,4.22%,6,6
10,pd,MCA,Random,0.196960419,0.007396382,3.76%,3,3
11,Rc,MCA,Random,0.199652122,0.012422183,6.22%,2,2
12,L,MDA,Random,0.207906426,0.005363016,2.58%,1,1
13,N,MDA,Random,0.138369152,0.00960774,6.94%,5,5
14,gamma,MDA,Random,0.174708789,0.011261938,6.45%,4,4
15,pi,MDA,Random,0.131581242,0.006157505,4.68%,6,6
16,pd,MDA,Random,0.187251927,0.00668693,3.57%,2,2
17,Rc,MDA,Random,0.182811592,0.006974367,3.82%,3,3
18,L,MAA,Random,0.246176309,0.027097697,11.01%,1,1
19,N,MAA,Random,0.163454351,0.026405274,16.15%,5,5
20,gamma,MAA,Random,0.229911161,0.026033693,11.32%,2,2
21,pi,MAA,Random,0.145434312,0.020378767,14.01%,6,6
22,pd,MAA,Random,0.216630964,0.023058858,10.64%,4,4
23,Rc,MAA,Random,0.228825027,0.022988914,10.05%,3,2
24,L,UNIFORM,ScaleFree,0.423868938,0.012098991,2.85%,2,2
25,N,UNIFORM,ScaleFree,0.381063213,0.01137935,2.99%,3,3
26,gamma,UNIFORM,ScaleFree,0.300690746,0.025245729,8.40%,5,5
27,pi,UNIFORM,ScaleFree,0.296808487,0.016588368,5.59%,6,6
28,pd,UNIFORM,ScaleFree,0.309518756,0.020882981,6.75%,4,4
29,Rc,UNIFORM,ScaleFree,0.593824907,0.012469113,2.10%,1,1
30,L,MCA,ScaleFree,0.164975896,0.006007218,3.64%,2,2
31,N,MCA,ScaleFree,0.157307254,0.006543839,4.16%,4,4
32,gamma,MCA,ScaleFree,0.158274669,0.007078663,4.47%,3,3
33,pi,MCA,ScaleFree,0.13816284,0.008889445,6.43%,5,5
34,pd,MCA,ScaleFree,0.183681225,0.02367899,12.89%,1,1
35,Rc,MCA,ScaleFree,0.131065679,0.009587015,7.31%,6,6
36,L,MDA,ScaleFree,0.167839257,0.006905185,4.11%,2,2
37,N,MDA,ScaleFree,0.132265545,0.00872918,6.60%,5,5
38,gamma,MDA,ScaleFree,0.143632439,0.008344871,5.81%,3,3
39,pi,MDA,ScaleFree,0.121628727,0.010211397,8.40%,6,6
40,pd,MDA,ScaleFree,0.188516977,0.01064439,5.65%,1,1
41,Rc,MDA,ScaleFree,0.137712662,0.010781564,7.83%,4,4
42,L,MAA,ScaleFree,0.185493342,0.016305731,8.79%,2,2
43,N,MAA,ScaleFree,0.142516444,0.014620845,10.26%,5,5
44,gamma,MAA,ScaleFree,0.166007058,0.017313295,10.43%,4,4
45,pi,MAA,ScaleFree,0.131320148,0.0166995,12.72%,6,6
46,pd,MAA,ScaleFree,0.356438725,0.086655684,24.31%,1,1
47,Rc,MAA,ScaleFree,0.172554558,0.018070405,10.47%,3,3
48,L,UNIFORM,Grid,0.493881607,0.010491437,2.12%,2,2
49,N,UNIFORM,Grid,0.395164181,0.00900605,2.28%,3,3
50,gamma,UNIFORM,Grid,0.356363326,0.010187124,2.86%,5,5
51,pi,UNIFORM,Grid,0.324252572,0.014768793,4.55%,6,6
52,pd,UNIFORM,Grid,0.383899572,0.0146124,3.81%,4,4
53,Rc,UNIFORM,Grid,0.667421498,0.013532752,2.03%,1,1
54,L,MCA,Grid,0.180353742,0.008796329,4.88%,2,2
55,N,MCA,Grid,0.171680415,0.00982027,5.72%,4,4
56,gamma,MCA,Grid,0.188737521,0.007618611,4.04%,1,1
57,pi,MCA,Grid,0.146427471,0.008302948,5.67%,5,5
58,pd,MCA,Grid,0.176360444,0.010598885,6.01%,3,3
59,Rc,MCA,Grid,0.13461469,0.010360188,7.70%,6,6
60,L,MDA,Grid,0.174934856,0.015632998,8.94%,2,2
61,N,MDA,Grid,0.148862964,0.011782282,7.91%,4,4
62,gamma,MDA,Grid,0.178380691,0.012047207,6.75%,1,1
63,pi,MDA,Grid,0.125168412,0.009958995,7.96%,5,5
64,pd,MDA,Grid,0.174525008,0.01071909,6.14%,3,2
65,Rc,MDA,Grid,0.118459721,0.013515016,11.41%,6,6
66,L,MAA,Grid,0.174966587,0.011223644,6.41%,1,1
67,N,MAA,Grid,0.153763611,0.01039788,6.76%,4,4
68,gamma,MAA,Grid,0.171704412,0.007918724,4.61%,2,2
69,pi,MAA,Grid,0.126366673,0.008733741,6.91%,5,5
70,pd,MAA,Grid,0.170315751,0.012095334,7.10%,3,2
71,Rc,MAA,Grid,0.11476709,0.011191854,9.75%,6,6
