y,resource allocation,topology,L,N,gamma,Pi,Pd,Rc
Res,MDA,Random,0.185445007,0.150624861,-0.462338951,-0.030034123,0.317791462,-0.191554811
Res,MDA,Scale Free ,0.221914027,0.043728973,0.19839527,0.073847383,0.459776671,-0.111133021
Res,MDA,Grid,0.266934252,0.110352707,0.104239232,0.068776664,0.371629001,-0.05651264
Res,MAA,Random,0.153039523,0.118677902,-0.446070275,-0.044808478,0.315973476,-0.204277946
Res,MAA,Scale Free ,0.14809851,0.014127534,0.220348824,0.058089594,0.468373445,-0.130275522
Res,MAA,Grid,0.218901388,0.123838592,0.115045739,0.077305819,0.373261093,-0.035082804
Res,MCA,Random,0.166252215,0.168708431,-0.445843406,0.019017846,0.239321879,-0.23074632
Res,MCA,Scale Free ,0.303059142,0.227027269,0.229070671,0.224694017,0.37256902,-0.057079321
Res,MCA,Grid,0.243626429,0.157830721,0.146073123,0.128977469,0.34425935,-0.04815383
Res,Uniform,Random,0.040962166,0.190730423,-0.068308818,0.103840689,0.20513334,0.732500778
Res,Uniform,Scale Free ,0.211213077,-0.059383175,-0.247840044,-0.325927391,0.191160615,0.729425494
Res,Uniform,Grid,-0.15958562,-0.022278475,-0.31000886,0.151632867,0.076139325,0.775595178
Perf,MDA,Random,-0.265139621,-0.159230103,0.223246677,-0.16860763,-0.19856442,0.143040328
Perf,MDA,Scale Free ,-0.353168982,-0.139566408,-0.229708544,-0.303722538,-0.33581089,0.055657449
Perf,MDA,Grid,-0.355489916,-0.224767554,-0.223940348,-0.231280362,-0.242940414,0.062492252
Perf,MAA,Random,-0.268474095,-0.143250332,0.209361832,-0.159180555,-0.201298675,0.170963689
Perf,MAA,Scale Free ,-0.321048146,-0.070051858,-0.242448938,-0.303442229,-0.376116489,0.090784757
Perf,MAA,Grid,-0.348574885,-0.195994462,-0.196459554,-0.228151898,-0.25158831,0.079867325
Perf,MCA,Random,-0.244142503,-0.200049371,0.232130686,-0.168493138,-0.195534049,0.123488147
Perf,MCA,Scale Free ,-0.388654372,-0.248785359,-0.28118271,-0.383789719,-0.288657433,0.016890705
Perf,MCA,Grid,-0.35052088,-0.233385545,-0.202172742,-0.255860354,-0.219761806,0.086466415
Perf,Uniform,Random,-0.243233182,-0.151829712,0.219403467,-0.086502886,-0.145563339,0.213163718
Perf,Uniform,Scale Free ,-0.388098241,-0.096247617,-0.288261103,-0.300016558,-0.345046569,0.086725898
Perf,Uniform,Grid,-0.443435704,-0.202385048,-0.240416314,-0.166645407,-0.106754663,0.183946908
